diffurl,edittime,editcomment,articletitle,editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,character_distribution,longest_Word,bad_words,size,word_count
http://en.wikipedia.org/w/index.php?diff=327603220&oldid=327602693,2009-11-24T04:04:43Z,/* Matches */,"WWE TLC: Tables, Ladders & Chairs",13179,327657616,1.0617,0.0445,0.0716,0.0585,0.0622,72.94.238.153,327965526,16,0,144,1,0.0,inf,15.0,0.0,40762.0,4235.0
http://en.wikipedia.org/w/index.php?diff=329553556&oldid=329316193,2009-12-03T22:47:19Z,/* Draft order */,2010 Major League Baseball Draft,15857,313278053,1.033,0.0427,0.1677,0.113,0.1274,96.51.71.138,327231859,18,1,16,1,0.0,inf,11.0,0.0,34877.0,1249.0
http://en.wikipedia.org/w/index.php?diff=327735640&oldid=327735348,2009-11-24T21:14:37Z,/* Stage */,Parodies of Harry Potter,32883,327131306,1.0512,0.0236,0.0634,0.0438,0.0458,GSMR,327131329,686,0,151,0,0.0,inf,21.0,0.0,84460.0,10332.0
http://en.wikipedia.org/w/index.php?diff=329770607&oldid=329769685,2009-12-05T00:06:42Z,rm hat per [[WP:NAMB]],John Garrett (British politician),35882,329797675,1.1298,0.116,0.1665,0.116,0.1311,207.47.241.174,329797904,1,0,23,1,0.0,inf,3.0,0.0,6183.0,529.0
http://en.wikipedia.org/w/index.php?diff=326738371&oldid=326702616,2009-11-19T14:51:16Z,remove stray template,Heidi Talbot,10919,329294587,1.1302,0.0175,0.0808,0.0802,0.0872,De bourbon-valois,329510863,337,0,0,1,0.009708738,inf,128.0,0.0,5300.0,483.0
http://en.wikipedia.org/w/index.php?diff=327692322&oldid=317890156,2009-11-24T17:01:58Z,Fixing [[Wikipedia:Disambiguation pages with links|links to disambiguation pages]] using [[Project:AutoWikiBrowser|AWB]],Tommy Forecast,23437,328392034,1.1096,0.0593,0.1207,0.1273,0.1458,Seagulf09,328547598,4,0,0,0,0.0,0.01667016,14.0,0.0,18017.0,1255.0
http://en.wikipedia.org/w/index.php?diff=327563868&oldid=327413276,2009-11-23T23:36:14Z,/* Japanese */,Bilingual pun,24579,260877952,1.1312,0.0483,0.0725,0.061,0.0648,Johnluisocasio,327149711,66,0,0,0,0.0,inf,24.0,0.0,9109.0,1077.0
http://en.wikipedia.org/w/index.php?diff=328364806&oldid=321337209,2009-11-28T11:43:16Z,Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]],Arthur Jeffrey Dempster,42308,329886854,0.0,1.0,1.0,1.0,1.0,TheWeakWilled,329886904,32,0,126,0,0.0,inf,9.0,0.0,5334.0,381.0
http://en.wikipedia.org/w/index.php?diff=327633133&oldid=327516645,2009-11-24T08:53:08Z,,Aldosterone,21748,327015299,1.0834,0.0067,0.0267,0.0391,0.0407,Pepso2,327025062,17,0,0,0,0.0,inf,73.0,0.0,29614.0,3146.0
http://en.wikipedia.org/w/index.php?diff=328666292&oldid=327876253,2009-11-29T21:48:37Z,,List of Big Brother 2008 housemates (UK),6750,328273118,1.1456,0.1463,0.2372,0.1561,0.1849,MR.Texan281,328437782,0,0,0,1,0.0,0.0,9.0,0.0,66559.0,1678.0
http://en.wikipedia.org/w/index.php?diff=326854314&oldid=323744394,2009-11-20T02:28:12Z,Removed category [[:Category:Politics of Greater Manchester|Politics of Greater Manchester]]; Quick-adding category [[:Category:Elections in Greater Manchester|Elections in Greater Manchester]] (using [[WP:HOTCAT|HotCat]]),"Ashton-under-Lyne by-election, 1939",36073,327542982,1.1046,0.0432,0.0899,0.0826,0.09,140.247.251.46,327583860,1,0,32,1,0.0,0.27847308,25.0,0.0,2039.0,145.0
http://en.wikipedia.org/w/index.php?diff=327927496&oldid=327721398,2009-11-25T21:11:53Z,"<ref>{{cite web|url=http://www.terrypepper.com/lights/lists/towertype.htm|author=Pepper, Terry |work=Seeing the Light |title=Database of Lighthouse Types and Tower Shapesl Heights |publisher=terrypepp",White Shoal Light (Michigan),36336,327535398,1.1101,0.0334,0.069,0.066,0.0707,Jubileeclipman,327535748,27,0,42,0,0.0,0.10826441,17.0,0.0,22625.0,2198.0
http://en.wikipedia.org/w/index.php?diff=327184504&oldid=327184437,2009-11-21T22:30:29Z,,Favorites at Play,27549,328090785,1.1152,0.023,0.0441,0.0523,0.0552,71.174.195.44,328137233,37,0,22,1,0.0,inf,12.0,0.0,20012.0,2424.0
http://en.wikipedia.org/w/index.php?diff=328405259&oldid=328389566,2009-11-28T16:51:18Z,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/Worldenc|Worldenc]] ([[User talk:Worldenc|talk]]) to last version by Sw258,"Todd County, South Dakota",9657,327623661,1.1325,0.0894,0.1326,0.0807,0.0877,Worldenc,328056988,0,0,18,0,0.0,0.1673567,253.0,0.0,24242.0,1472.0
http://en.wikipedia.org/w/index.php?diff=327812325&oldid=327801037,2009-11-25T05:34:14Z,reorganize,Kurdish cuisine,45710,325814436,1.1326,0.0093,0.029,0.0576,0.0611,90.202.201.246,327104640,251,0,0,1,0.0,inf,14.0,0.0,5811.0,600.0
http://en.wikipedia.org/w/index.php?diff=327878128&oldid=327716201,2009-11-25T15:57:32Z,/* Cheerleading squads */,List of fictional sports teams,37965,328684772,1.1705,0.0121,0.0441,0.0565,0.0598,24.209.136.144,328733849,0,0,25,1,0.0,0.0,0.0,0.0,41124.0,4188.0
http://en.wikipedia.org/w/index.php?diff=327336340&oldid=327289783,2009-11-22T19:51:31Z,Sp Haringey - the article is about the borough - difficult to see why wed need this one locality spelling here,London Borough of Haringey,11570,252320218,1.1235,0.0604,0.0961,0.1034,0.1152,98.240.176.32,327619237,5,0,0,1,0.0,0.051449753,24.0,0.0,46253.0,3674.0
http://en.wikipedia.org/w/index.php?diff=329168855&oldid=329168262,2009-12-02T02:50:40Z,/* Logical soundness */ Corrected so that the name of the page directed to False Dilemma is what is shown on this page,Lewiss trilemma,15554,329716440,1.1513,0.1549,0.2589,0.1244,0.142,66.232.207.227,329717837,0,1,17,1,0.0,0.0469819,32.0,0.0,21682.0,2949.0
http://en.wikipedia.org/w/index.php?diff=326876575&oldid=324808264,2009-11-20T05:10:58Z,/* Undergraduate chapters */,Sigma Lambda Upsilon,24901,329315790,1.1266,0.0206,0.0302,0.0579,0.0614,77.251.52.48,329744275,372,0,0,1,0.020408163,inf,23.0,0.0,8326.0,804.0
http://en.wikipedia.org/w/index.php?diff=329776274&oldid=329775060,2009-12-05T00:37:59Z,,Sureños,28773,328000381,1.1449,0.0295,0.0534,0.0335,0.0346,Rusty Cashman,328544161,21,0,72,1,0.007042254,inf,62.0,0.0,16891.0,1499.0
http://en.wikipedia.org/w/index.php?diff=329180001&oldid=321503598,2009-12-02T04:04:39Z,/* Discography */,YoungBloodZ,33681,325862301,1.1315,0.0813,0.1797,0.1261,0.1443,Cmm3,326814933,28,0,0,0,0.0,inf,11.0,0.0,4294.0,437.0
http://en.wikipedia.org/w/index.php?diff=327028189&oldid=327027665,2009-11-21T00:45:59Z,/* List of Clarence Cup winners */,Northern Amateur Football League,6432,328975135,1.1292,0.0417,0.0641,0.1299,0.1493,170.20.11.116,329029909,325,0,0,1,0.0,inf,54.0,0.0,40100.0,2305.0
http://en.wikipedia.org/w/index.php?diff=327214655&oldid=321625891,2009-11-22T01:54:44Z,,Dioctyl sodium sulfosuccinate,28817,329601093,1.1351,0.006999999999999999,0.01,0.159,0.1889,70.117.157.141,329601130,30,0,7,1,0.0,0.0,0.0,0.0,20787.0,1910.0
http://en.wikipedia.org/w/index.php?diff=327019704&oldid=327018949,2009-11-20T23:46:47Z,/* Winners */,William Donald Schaefer Handicap,33446,326983299,1.0963,0.0387,0.0774,0.1026,0.1141,Olin Bhergine,327068157,141,0,0,1,0.045454545,inf,64.0,0.0,9631.0,278.0
http://en.wikipedia.org/w/index.php?diff=329630469&oldid=325308292,2009-12-04T08:12:54Z,/* Cryptanalysis */ changed ...Bazeries cylinder more disks... to ...Bazeries cylinder has more disks...,Jefferson disk,36450,329517455,1.1367,0.0076,0.0695,0.1761,0.2137,Thismightbezach,329518956,0,0,23,0,0.0,0.2830209,11.0,0.0,14075.0,1877.0
http://en.wikipedia.org/w/index.php?diff=328070389&oldid=326076030,2009-11-26T17:38:18Z,/* Background */ Repairing links to disambiguation pages - [[Wikipedia:Disambiguation pages with links|You can help!]],Look Sharp! (Roxette album),9326,329598835,1.1069,0.0551,0.1197,0.0832,0.0907,158.65.175.214,329947336,14,0,10,1,0.0,inf,7.0,0.0,32728.0,1960.0
http://en.wikipedia.org/w/index.php?diff=328213053&oldid=328157847,2009-11-27T14:33:50Z,/* Faculty of Engineering and Design */,Carleton University,23775,327080824,1.1192,0.0482,0.0872,0.1168,0.132,212.183.140.18,327080871,1,0,0,1,0.0,1.87e-05,65.0,0.0,107077.0,11011.0
http://en.wikipedia.org/w/index.php?diff=327145480&oldid=324994209,2009-11-21T18:21:15Z,/* Television */,Maxene Magalona,36609,327838484,1.1033,0.0623,0.0846,0.0883,0.0969,Carlaude,328141922,17,0,51,0,0.0,inf,15.0,0.0,16489.0,895.0
http://en.wikipedia.org/w/index.php?diff=327413456&oldid=294738912,2009-11-23T04:22:02Z,Replacing {{IPAr|pl| with {{IPAc-pl|,Stare Bogaczowice,4182,328174072,1.1529,0.0433,0.1478,0.1049,0.1172,114.76.251.118,328174673,25,0,11,1,0.0,inf,8.0,0.0,1790.0,85.0
http://en.wikipedia.org/w/index.php?diff=328235217&oldid=310908999,2009-11-27T17:25:55Z,formatting fixes; add some sources and expand beyond stub,Birds invasion of Kentucky,42805,328077263,1.1206,0.0312,0.0723,0.0657,0.0703,492star,328077282,6,0,10,0,0.0,inf,9.0,0.0,8342.0,880.0
http://en.wikipedia.org/w/index.php?diff=326961705&oldid=326961293,2009-11-20T17:41:29Z,add link,Survival of the Sickest (book),39493,321284454,1.1239,0.0828,0.1378,0.0984,0.1091,Wikiwiki1228,327554905,734,0,0,0,0.0,inf,73.0,0.0,3929.0,304.0
http://en.wikipedia.org/w/index.php?diff=328203632&oldid=328203452,2009-11-27T13:09:05Z,/* Natural Environments & Protected Zones */,"Ponta Delgada, Santa Cruz das Flores",30411,327637669,1.0531,0.0358,0.0683,0.0655,0.0701,78.133.124.146,327637873,4,0,0,1,0.0,0.067121424,12.0,0.0,12647.0,1578.0
http://en.wikipedia.org/w/index.php?diff=329135120&oldid=329134960,2009-12-01T23:17:56Z,/* Final justice */,Sam DeStefano,33253,328476276,1.1015,0.0488,0.0842,0.0708,0.0762,200.7.38.254,328478225,37,0,0,1,0.0,inf,13.0,0.0,18471.0,2544.0
http://en.wikipedia.org/w/index.php?diff=329927402&oldid=329927241,2009-12-05T20:31:06Z,[[WP:UNDO|Undid]] revision 329440894 by [[Special:Contributions/BillyMeredithShorts|BillyMeredithShorts]] ([[User talk:BillyMeredithShorts|talk]]),City of Manchester Stadium,30306,327115154,1.1124,0.0496,0.1068,0.055,0.0582,Rehevkor,327115759,0,0,60,0,0.0,0.0,0.0,0.0,130741.0,12455.0
http://en.wikipedia.org/w/index.php?diff=326949272&oldid=326949026,2009-11-20T16:29:43Z,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/190.205.41.48|190.205.41.48]] ([[User talk:190.205.41.48|talk]]) to last version by Old Moonraker,Rainbow,15175,329104510,1.0998,0.0631,0.0923,0.0827,0.0902,192.86.100.36,329104619,0,0,33,1,0.0,0.0,0.0,0.0,75690.0,8795.0
http://en.wikipedia.org/w/index.php?diff=326964413&oldid=326963797,2009-11-20T17:58:04Z,Revert to the revision prior to revision 326963714 dated 2009-11-20 17:53:40 by 128.138.90.91 using [[:en:Wikipedia:Tools/Navigation_popups|popups]],Woodstock Festival,36133,329756661,1.0902,0.0402,0.0673,0.1047,0.1169,Jerrykme,329756742,1,0,16,0,0.0,0.005092075,10.0,0.0,86920.0,8854.0
http://en.wikipedia.org/w/index.php?diff=328825954&oldid=328825866,2009-11-30T16:45:27Z,/* Differences */,Earth Girls Are Easy,18524,327148168,1.125,0.14300000000000002,0.244,0.1161,0.1314,86.11.5.38,327149023,0,0,21,1,0.0,inf,2.0,0.0,18661.0,1853.0
http://en.wikipedia.org/w/index.php?diff=328181301&oldid=301540451,2009-11-27T09:08:16Z,,How to Make Enemies and Irritate People,28401,327482776,1.1301,0.0124,0.032,0.0247,0.0254,Mmh,328477182,13,0,12,0,0.0,inf,13.0,0.0,7833.0,703.0
http://en.wikipedia.org/w/index.php?diff=327429493&oldid=327429288,2009-11-23T06:45:07Z,/* Currently */,Carmen E. Arroyo,37209,328132190,1.0892,0.0311,0.049,0.0511,0.0539,Timbouctou,328228480,0,0,134,0,0.0,inf,23.0,0.0,8911.0,997.0
