Anonymous,articleid,articletitle,bad_words,category,character_diversity,class,comment_len,digit_ratio,editid,editor,longest_Word,newrevisionid,non_alpha_numeric_ratio,oldrevisionid,size,size_increment,upper_to_all,upper_to_lower,vulgar_word_ratio,word_count
1,2011864,Symphony No. 8 (Bruckner),0.0,Category:1887 compositions,1.0913,0,174,0.0853,49626,R'n'B,115.0,947851737,0.1552,947691580,189487.0,45,0.0611,0.0651,0.0,15768.0
1,9357607,Pink BH,0.0,Category:Articles with short description,1.1271,0,20,0.0746,50321,81.110.114.228,59.0,948868770,0.1161,948682822,27050.0,0,0.0877,0.0962,0.0,2123.0
1,2192764,List of figures in nationalism,0.0,Category:All articles lacking sources,1.1271,0,20,0.0746,55963,81.110.114.228,59.0,948868770,0.1161,948682822,27050.0,0,0.0877,0.0962,0.0,2123.0
0,4372402,Chad Hartman,0.0,Category:American talk radio hosts,1.0907,0,14,0.0571,51779,SoWhAt249,10.0,949236958,0.1079,948940024,259071.0,35,0.0771,0.0836,0.0,24098.0
0,2032083,Shah (disambiguation),0.0,Category:All article disambiguation pages,1.1504,0,0,0.0766,49143,Plumpenmarran,12.0,949004152,0.2324,949003967,136675.0,1,0.1193,0.1355,0.0,3301.0
0,25240261,Army Cadet College,0.0,Category:CS1 errors: missing periodical,1.1623,0,66,0.0252,46997,Rpyle731,21.0,332962997,0.0711,332915233,62113.0,21,0.0345,0.0357,0.0,6948.0
1,5449910,U-229,0.0,Category:All articles containing potentially dated statements,1.1414,1,21,0.0212,51145,"Me, Myself, and I are Here",23.0,828378960,0.0576,662366889,8774.0,0,0.0553,0.0586,0.008097165991902834,1320.0
1,21237995,2009–10 Premier League,0.0,Category:2009–10 Premier League,1.1242,0,108,0.1012,47002,Robby.is.on,68.0,877454427,0.1378,877447957,3320.0,186,0.0888,0.0974,0.0,145.0
0,386209,Roberto Assagioli,0.0,Category:1888 births,1.1336,0,61,0.0337,47756,InternetArchiveBot,80.0,906555676,0.0695,894147795,9803.0,129,0.0896,0.0985,0.0,1155.0
0,1021490,Super Freak,0.0,Category:1981 singles,1.1371,0,8,0.0313,47335,Kleinjup,13.0,910282215,0.0555,906110117,13016.0,2,0.0608,0.0647,0.0,1737.0
0,12158347,Robert Pook,0.0,Category:1967 births,1.1299,0,25,0.0149,46273,Alistair1978,14.0,922670580,0.0456,918011049,8326.0,1,0.092,0.1012,0.0,804.0
1,22621258,Echo (Leona Lewis album),0.0,Category:2009 albums,1.1207,0,0,0.0979,50110,81.132.211.159,10.0,924739556,0.1145,924739176,101874.0,129,0.1392,0.1614,0.0,1520.0
0,1613644,Interleukin 6,0.0,Category:CS1: long volume value,1.1227,0,36,0.0646,46383,Dummelaksen,21.0,927159010,0.1044,924757058,9961.0,18,0.0904,0.0994,0.0,697.0
1,1941291,Barry Letts,0.0,Category:1925 births,1.1379,1,43,0.0368,46351,Derek R Bullamore,68.0,935660144,0.0764,934502482,18661.0,0,0.0756,0.0817,0.12121212121212124,1853.0
0,2179359,List of Nintendo DS Wi-Fi Connection games,0.0,Category:All articles with dead external links,1.1407,0,13,0.0509,46131,BeepThisIsNotaTest,62.0,936830552,0.0874,936830146,27722.0,30,0.0506,0.0533,0.0,3849.0
1,9510699,StarStruck (Philippine TV series),0.0,Category:2003 Philippine television series debuts,1.1375,0,100,0.0376,49895,DemonDays64 Bot,108.0,941699286,0.0743,940913639,54898.0,1,0.067,0.0718,0.0,6571.0
0,379440,List of nuclear reactors,0.0,Category:All articles with unsourced statements,1.1476,1,0,0.05,49662,Fullrabb,84.0,947491067,0.0865,944498574,117761.0,5,0.067,0.0718,0.015810276679841896,13814.0
0,21150369,List of European supercentenarians,0.0,Category:Redirects connected to a Wikidata item,1.1476,1,0,0.05,50183,Fullrabb,84.0,947491067,0.0865,944498574,117761.0,5,0.067,0.0718,0.015810276679841896,13814.0
0,9109717,American Task Force on Palestine,0.0,Category:2003 establishments in the United States,1.1476,1,0,0.05,57382,Fullrabb,84.0,947491067,0.0865,944498574,117761.0,5,0.067,0.0718,0.015810276679841896,13814.0
0,5292157,Big Cone,0.0,Category:All articles with unsourced statements,1.133,0,10,0.0496,49776,CrazyBoy826,9.0,948552479,0.1299,946676684,6917.0,1,0.158,0.1875,0.0,823.0
1,24094519,ASG Juventus de Sainte-Anne,0.0,Category:All articles lacking sources,1.1234,0,14,0.0569,46819,ChrisCarss Former24.108.99.31,18.0,947112539,0.0843,947112489,81377.0,0,0.0575,0.061,0.0,7795.0
1,10024445,Sheena Halili,0.0,Category:1987 births,1.1474,0,130,0.0577,48024,Keith D,48.0,948140775,0.1247,948060152,44113.0,10,0.098,0.1086,0.0,4324.0
1,2145410,List of Super Bowl champions,0.0,Category:Articles with short description,1.1474,0,130,0.0577,60066,Keith D,48.0,948140775,0.1247,948060152,44113.0,10,0.098,0.1086,0.0,4324.0
1,318427,Scottish English,0.0,Category:All articles needing additional references,1.1474,0,130,0.0577,65437,Keith D,48.0,948140775,0.1247,948060152,44113.0,10,0.098,0.1086,0.0,4324.0
1,881136,Fuchsia (color),0.0,Category:Articles with short description,1.1554,0,0,0.1025,48204,98.181.242.47,14.0,949182900,0.1634,948613988,128988.0,7,0.0725,0.0781,0.0,11556.0
0,33010595,Your Big Backyard,0.0,,1.1027,1,48,0.0823,49178,Dawnseeker2000,176.0,948665156,0.1371,948641527,203977.0,18,0.0649,0.0694,0.014492753623188406,17156.0
0,25240261,Army Cadet College,0.0,Category:CS1 errors: missing periodical,1.1623,0,60,0.0253,46998,Pburka,17.0,332915233,0.0713,332885312,62113.0,4,0.0358,0.0371,0.0,6948.0
0,8703527,Abdul Taib Mahmud,0.0,Category:1936 births,1.1316,0,10,0.0149,48375,Equinox,22.0,804538148,0.0488,800494957,3093.0,7,0.0395,0.0411,0.0,401.0
1,21201816,List of federal judges appointed by Gerald Ford,0.0,Category:Articles with hCards,1.1231,0,154,0.0303,50634,John of Reading,0.0,878529869,0.0566,869408979,1791.0,157,0.0849,0.0927,0.0,143.0
0,19137,Malta,0.0,Category:All Wikipedia articles in need of updating,1.1313,0,33,0.0371,47812,Larrybob,111.0,907243984,0.0683,893267602,3959.0,43,0.075,0.0811,0.0,429.0
0,26830,Slovakia,0.0,Category:All articles with failed verification,1.1264,1,141,0.0645,50153,Monkbot,158.0,903874032,0.1364,899446737,5419.0,0,0.1033,0.1152,0.017543859649122806,338.0
0,21426421,Cuppacumbalong Homestead,0.0,Category:All Wikipedia articles written in Australian English,1.1338,0,160,0.0359,47755,Monkbot,74.0,916199698,0.0727,906555676,9803.0,3,0.0888,0.0974,0.0,1155.0
1,3463805,Now That's What I Call Music! discography,0.0,Category:All articles covered by WikiProject Wikify,1.0855,0,14,0.0454,47043,64.180.151.198,10.0,932152988,0.0841,916534739,20603.0,1,0.062,0.0661,0.0,2280.0
1,166052,Osmania University,0.0,Category:All Wikipedia articles written in Indian English,1.0855,0,14,0.0454,58492,64.180.151.198,10.0,932152988,0.0841,916534739,20603.0,1,0.062,0.0661,0.0,2280.0
1,1161493,Kamelot,0.0,Category:1991 establishments in Florida,1.1104,1,10,0.022000000000000002,49333,2601:1C0:4501:F800:EC3B:65E4:E490:17DC,12.0,943527263,0.0481,926262633,15837.0,148,0.0554,0.0586,0.010416666666666666,2127.0
0,1788241,Folklife,0.0,Category:Printworthy redirects,1.1286,1,19,0.0417,46922,Greyjoy,20.0,933153978,0.0866,932522888,8861.0,93,0.0832,0.0908,0.05263157894736842,864.0
1,19086645,Nick Perry (writer),0.0,Category:All stub articles,1.1443,1,147,0.0462,47234,Walter Görlitz,168.0,935779697,0.1118,935779300,24214.0,75,0.0776,0.0841,0.008695652173913044,1516.0
0,339877,Simeon I of Bulgaria,0.0,Category:10th-century Bulgarian emperors,1.1404,0,55,0.0838,52041,InternetArchiveBot,152.0,941825243,0.1134,936073900,21949.0,180,0.0707,0.076,0.0,2431.0
0,6438548,Hythe (UK Parliament constituency),0.0,Category:CS1: Julian–Gregorian uncertainty,1.0839,0,68,0.052000000000000005,51629,Nealbo,18.0,947819247,0.1124,942960492,23612.0,11,0.0751,0.0812,0.0,2759.0
0,16587889,Ugabhoga,0.0,Category:Carnatic music,1.1435,0,118,0.0305,50716,Tridwoxi,11.0,946328383,0.0575,946326363,33449.0,1,0.0548,0.057999999999999996,0.0,4382.0
1,20853515,Forman Hatfield,0.0,,1.1366,1,0,0.0267,47271,125.212.186.123,17.0,947423379,0.0467,946395998,14275.0,39,0.0324,0.0335,0.0078125,1688.0
0,13672942,1986–87 Calgary Flames season,0.0,Category:1986–87 NHL season by team,1.1243,0,15,0.0438,50585,MarnetteD,134.0,947025164,0.0779,947024993,13016.0,331,0.0613,0.0653,0.0,1505.0
0,19459545,Josh Payne,0.0,Category:1990 births,1.1071,0,0,0.1348,51274,ReaperSox,12.0,947266651,0.195,947266597,13608.0,7,0.0905,0.0995,0.0,620.0
0,7255461,A Life of Arctic Sounds,0.0,Category:1996 singles,1.1386,0,196,0.0788,50642,Yamaguchi先生,14.0,948733145,0.1259,947944181,77130.0,1,0.0607,0.0646,0.0,8216.0
0,345792,The Undertaker,0.0,Category:1965 births,1.12,1,24,0.0476,48684,XavierItzm,72.0,948163874,0.0795,948163813,74734.0,38,0.0365,0.0379,0.07692307692307693,8167.0
0,2198226,Tonantzin Carmelo,0.0,Category:All articles lacking in-text citations,1.1547,0,10,0.0595,47011,NeoBatfreak,34.0,948640120,0.1118,948639788,106569.0,47,0.0627,0.0669,0.0,10703.0
0,24671782,Justin Turner,0.0,Category:1984 births,1.1266,0,35,0.0404,49531,KasparBot,11.0,659766286,0.0639,633651731,2084.0,14,0.1317,0.1516,0.0,250.0
0,548647,Volterra,0.0,Category:Articles containing Italian-language text,1.1237,0,34,0.0683,49774,Dcirovic,57.0,720604718,0.1168,712735233,5200.0,6,0.0768,0.0831,0.0,507.0
0,5236988,Givebacks,0.0,Category:All stub articles,1.1322,0,35,0.0524,46555,Greenshed,20.0,847823979,0.0792,729115701,2907.0,39,0.1093,0.1226,0.0,105.0
0,17254437,10415 Mali Lošinj,0.0,Category:Astronomical objects discovered in 1998,1.1269,0,17,0.034,49831,WolfmanSF,17.0,907460154,0.0866,825570275,2623.0,0,0.0691,0.0742,0.0,170.0
1,25832,Ringo Starr,0.0,Category:1940 births,1.139,0,91,0.0464,50981,GreenC bot,81.0,853817305,0.1071,846928952,39430.0,28,0.1051,0.1174,0.0,4472.0
0,1833988,Budgie the Little Helicopter,0.0,Category:1990s British animated television series,1.1334,0,109,0.0625,52049,PrimeBOT,8.0,880489540,0.0812,861575769,4068.0,65,0.0978,0.1084,0.0,36.0
1,1553897,415 Palatia,0.0,Category:All stub articles,1.117,0,12,0.1092,49891,201.37.160.126,5.0,937072058,0.201,895953663,5847.0,11,0.1293,0.1484,0.0,532.0
0,6301509,Military mascot,0.0,Category:All articles needing additional references,1.1302,0,14,0.031,50840,Ahess2,23.0,897363267,0.0617,897363194,4172.0,6,0.0403,0.042,0.0,424.0
0,6301509,Military mascot,0.0,Category:All articles needing additional references,1.1302,0,14,0.0311,50839,Ahess2,40.0,897363351,0.0607,897363267,4172.0,6,0.0407,0.0424,0.0,424.0
0,10987438,Didier Mouron,0.0,Category:1958 births,1.0967,0,67,0.0568,46816,InternetArchiveBot,12.0,914579547,0.0943,913349040,11094.0,25,0.0695,0.0746,0.0,1371.0
1,1009975,Survivor (band),0.0,Category:All articles needing additional references,1.135,0,18,0.0344,48153,42.111.144.41,12.0,937027840,0.0596,920200083,5351.0,3,0.0699,0.0751,0.0,590.0
0,2214448,NK Domžale,0.0,Category:1920 establishments in Slovenia,1.1251,0,20,0.0543,49544,Spacejam2,14.0,932682083,0.1094,927475392,7064.0,28,0.079,0.0858,0.0,700.0
1,15406,Irgun,0.0,Category:1931 establishments in Mandatory Palestine,1.1428,1,0,0.013000000000000001,51790,2001:56A:7582:6C00:EC19:5BCD:4960:8C9A,13.0,934502845,0.0274,927813524,147239.0,74,0.0637,0.0679,0.030303030303030307,12115.0
0,339877,Simeon I of Bulgaria,0.0,Category:10th-century Bulgarian emperors,1.1404,0,20,0.0839,52043,Sactacoman,133.0,934745131,0.1133,929176584,21949.0,1,0.0707,0.0761,0.0,2431.0
0,11039382,Sells Floto Circus,0.0,Category:1929 disestablishments in the United States,1.1392,0,81,0.071,47598,Amjmfareham1,78.0,949152888,0.1082,934434350,29009.0,75,0.0841,0.0918,0.0,3055.0
1,9431835,"Amberley, Queensland",0.0,Category:All Wikipedia articles written in Australian English,1.1469,0,0,0.0569,50636,163.230.250.203,13.0,945843395,0.1124,938109958,20869.0,0,0.0633,0.0675,0.0,2422.0
1,14922935,The Cool Kids,0.0,Category:African-American musical groups,1.1303,0,0,0.02,48508,85.199.231.44,14.0,943880598,0.0396,939861687,5249.0,0,0.0475,0.0499,0.0,666.0
0,20119714,Short track speed skating at the 2010 Winter Olympics,0.0,Category:2010 Winter Olympics events,1.1347,0,13,0.0428,51194,Travellin,12.0,940507828,0.0966,940507747,19771.0,1,0.0977,0.1083,0.0,2467.0
0,945910,Fox games,0.0,Category:Abstract strategy games,1.1401,1,0,0.0794,49503,TylerKutschbach,181.0,946748057,0.1292,941072535,46355.0,0,0.0777,0.0843,0.006896551724137931,3679.0
0,13464538,The Physician,0.0,Category:1986 American novels,1.1401,1,0,0.0794,55268,TylerKutschbach,181.0,946748057,0.1292,941072535,46355.0,0,0.0777,0.0843,0.006896551724137931,3679.0
1,17643665,Community Access Program,0.0,Category:All articles with dead external links,1.1459,0,22,0.0467,48593,2806:109F:4:FB1C:1442:5517:79CB:9FC,11.0,947737382,0.0978,944478345,52224.0,1,0.0622,0.0664,0.0,6050.0
0,16684748,Penn State Nittany Lions basketball,0.0,Category:Articles with short description,1.1406,0,30,0.0926,51263,Ich,20.0,948037688,0.1259,945280316,27395.0,6,0.0623,0.0664,0.0,2931.0
0,3307695,Formula Windsurfing,0.0,Category:All articles needing additional references,1.1493,0,7,0.0511,47879,Steel1943,18.0,946847818,0.099,945325131,97995.0,2,0.0662,0.0709,0.0,11327.0
1,2970574,Ottawa Auditorium,0.0,Category:1923 establishments in Ontario,1.1379,0,0,0.0798,51370,50.26.172.216,7.0,946066683,0.1792,945499899,80637.0,0,0.1106,0.1243,0.0,2573.0
0,2373147,Trooper (rank),0.0,Category:All articles needing additional references,1.1281,0,15,0.0329,49721,Kjaseel,8.0,947089932,0.0799,947089773,4609.0,18,0.0917,0.10099999999999999,0.0,245.0
0,912134,Jan-Michael Gambill,0.0,Category:1977 births,1.0888,0,25,0.0654,49248,GRanemos1,12.0,947687934,0.095,947687903,15413.0,3,0.0849,0.0927,0.0,1474.0
0,1256944,Descent II,0.0,Category:1996 video games,1.1468,0,23,0.0307,49853,Wtshymanski,124.0,948405342,0.0541,948261173,91729.0,120,0.0352,0.0364,0.0,10986.0
0,9510699,StarStruck (Philippine TV series),0.0,Category:2003 Philippine television series debuts,1.1313,1,77,0.0649,49898,Iridescent,243.0,949120389,0.0981,949102160,52467.0,0,0.0884,0.0969,0.013605442176870748,4659.0
1,1946213,Scholomance,0.0,Category:Articles containing German-language text,1.1662,0,20,0.0267,50450,Paine Ellsworth,9.0,733121938,0.0533,647275636,26396.0,45,0.1528,0.1774,0.0,2383.0
1,42254,Buick,0.0,Category:1903 establishments in Michigan,1.1344,1,53,0.0321,47541,Ira Leviton,18.0,897255136,0.0521,883236957,11368.0,1,0.0693,0.0745,0.026490066225165563,1282.0
0,560365,Marshall University,0.0,Category:1837 establishments in Virginia,1.1175,0,172,0.0484,51335,Redactyll,84.0,897224839,0.1151,897218210,3367.0,668,0.0766,0.083,0.0,234.0
0,545476,First Battle of Ypres,0.0,Category:1914 in Belgium,1.1387,1,40,0.0323,46268,Mcc1789,58.0,937474841,0.0715,908507225,21682.0,1,0.0607,0.0646,0.04789272030651341,2949.0
0,562456,The Outsiders (novel),0.0,Category:1967 American novels,1.1346,0,24,0.0611,48832,Danimal57,18.0,919359731,0.0945,918023662,19145.0,1,0.0908,0.0999,0.0,2760.0
1,170440,Needlepoint,0.0,Category:All articles needing additional references,1.1526,0,23,0.053,48641,2001:B07:AE5:204:A0B3:E01F:4071:7E50,7.0,924022741,0.0914,918792801,59662.0,18,0.0972,0.1076,0.0,7354.0
0,160228,1973 in music,0.0,Category:1973 in music,1.1309,0,104,0.0128,51563,Alaney2k,19.0,925041020,0.0562,920672154,4482.0,5,0.0589,0.0625,0.0,397.0
0,2360567,Michael Essien,0.0,Category:1982 births,1.1201,0,12,0.0543,51758,Geregen2,0.0,935110373,0.0743,922670498,3262.0,59,0.081,0.0881,0.0,379.0
0,5282808,Antonella Gambotto-Burke,0.0,Category:1965 births,1.136,0,31,0.0526,47441,Edifrumpie,132.0,926959765,0.1039,925027967,13398.0,257,0.0573,0.0608,0.0,1484.0
1,162964,John Stamos,0.0,Category:1963 births,1.12,0,13,0.0879,50559,2806:109F:1B:BEC6:9879:484:98F3:49C,87.0,942983482,0.1567,928989712,4386.0,7,0.0774,0.0839,0.0,391.0
0,22946471,Rue Mercière,0.0,Category:2nd arrondissement of Lyon,1.1284,0,140,0.0629,46192,TheDeviantPro,29.0,933594438,0.111,933576953,40762.0,9,0.1268,0.1452,0.0,4235.0
1,3109670,Earl Barron,0.0,Category:1981 births,1.1499,0,13,0.0664,51269,2601:443:380:7F20:14CE:C170:79DB:9E2B,1.0,935794147,0.1024,935790100,24546.0,1,0.1293,0.1485,0.0,1621.0
1,931064,Yarkovsky–O'Keefe–Radzievskii–Paddack effect,0.0,Category:All articles with unsourced statements,1.1446,0,22,0.054000000000000006,49415,73.222.232.195,11.0,945162771,0.0847,936068499,28268.0,151,0.053,0.055999999999999994,0.0,4228.0
1,1042918,Brad Miller (basketball),0.0,Category:1976 births,1.1441,0,29,0.0538,47653,Allen Tsui,6.0,942549359,0.0878,939750657,59992.0,0,0.0421,0.0439,0.0,7041.0
1,9510699,StarStruck (Philippine TV series),0.0,Category:2003 Philippine television series debuts,1.1375,0,0,0.0376,49896,61.216.26.1,84.0,940913639,0.0743,940782524,54898.0,0,0.067,0.0718,0.0,6571.0
0,1506784,Wayne Middaugh,0.0,Category:1967 births,1.117,0,41,0.033,46641,Spicemix,20.0,944803031,0.0606,944802803,45392.0,0,0.0493,0.0519,0.0,5679.0
1,366108,Summits of the Americas,0.0,Category:20th-century diplomatic conferences,1.1287,0,31,0.0371,49937,Ovjeet rabha,12.0,945691275,0.0619,945019823,14655.0,0,0.0574,0.0609,0.0,1787.0
0,1278124,Toyota Sequoia,0.0,Category:2010s cars,1.1019,1,59,0.0507,48350,ABCDE22,107.0,945878550,0.086,945878134,95381.0,165,0.0617,0.0658,0.007352941176470587,10310.0
0,4062958,Hillhead Jordanhill RFC,0.0,Category:All articles needing additional references,1.1522,0,31,0.0717,47683,Tbhotch,19.0,948207247,0.1407,948207161,136437.0,19,0.0752,0.0813,0.0,13411.0
0,14142267,New York State Armory (Poughkeepsie),0.0,Category:1892 establishments in New York (state),1.095,0,32,0.002,46990,Khajidha,19.0,948736065,0.0393,948358605,252436.0,4,0.1572,0.1865,0.0,27898.0
1,472946,HMS Impulsive (D11),0.0,Category:1937 ships,1.177,0,131,0.0196,48275,Steven Crossin,0.0,915477921,0.0392,411695935,23654.0,0,0.26,0.3421,0.0,2541.0
1,21516586,1926 Pottsville Maroons season,0.0,Category:1926 National Football League season by team,1.1623,0,77,0.0847,50808,The Transhumanist,0.0,838623685,0.1186,490423892,9469.0,0,0.2642,0.35,0.0,761.0
0,2169392,The Contemporary Ballad Book,0.0,Category:1974 compilation albums,1.1767,0,50,0.0435,47449,AvicBot,17.0,500668765,0.1304,500188783,1484.0,0,0.5238,1.0,0.0,71.0
1,16911,Kajang,0.0,Category:All articles needing additional references,1.1235,0,34,0.044000000000000004,48774,Nick Moyes,35.0,751885518,0.0968,702198672,992.0,10,0.0778,0.0842,0.0,53.0
1,8238258,Qatar,0.0,Category:All articles containing potentially dated statements,1.1352,0,117,0.1391,47807,Tom.Reding,21.0,735062660,0.1541,730445680,200454.0,44,0.1991,0.2473,0.0,157.0
0,5750241,Ranger's Apprentice,0.0,Category:All Wikipedia articles with plot summary needing attention,1.1307,0,24,0.0848,49193,GreatBalfoursGhost,21.0,833165407,0.1022,833165319,1144.0,10,0.0775,0.0839,0.0,135.0
0,22939559,American Airlines Flight 2,0.0,Category:1944 in Tennessee,1.1289,0,376,0.0471,47058,DeprecatedFixerBot,9.0,866421090,0.1093,852284539,4102.0,11,0.1297,0.149,0.0,282.0
1,810550,Glen Canyon National Recreation Area,0.0,Category:All articles lacking in-text citations,1.135,0,0,0.0821,47256,2605:A000:140D:4316:B124:F224:7089:6883,13.0,872154068,0.1344,872153984,10030.0,9,0.1257,0.1437,0.0,423.0
0,6093599,Darrell R. Lindsey,0.0,Category:1919 births,1.1375,0,43,0.0171,48093,AnomieBOT,26.0,891073007,0.0413,891070766,11640.0,32,0.0344,0.0356,0.0,1386.0
1,1541,April 13,0.0,Category:April,1.137,0,0,0.0626,49635,2001:8003:A836:BB00:AC63:E928:6017:8EA,12.0,914148037,0.0915,903875329,16882.0,0,0.0715,0.077,0.0,1879.0
1,20148372,2009 Oregon Ducks football team,0.0,Category:2009 Pacific-10 Conference football season,1.1437,1,59,0.0397,52165,Tom.Reding,238.0,924133773,0.0784,905774953,29165.0,1218,0.0427,0.0446,0.02127659574468085,3527.0
0,8238258,Qatar,0.0,Category:All articles containing potentially dated statements,1.1295,0,110,0.0412,47811,Bearcat,15.0,946065872,0.0736,907243984,3959.0,5,0.0745,0.0804,0.0,429.0
0,20067061,Davezilla,0.0,Category:All articles lacking in-text citations,1.1181,0,160,0.0203,50325,Monkbot,139.0,916772550,0.0327,912677538,28182.0,1,0.0464,0.0486,0.0,3753.0
0,25198885,"Wormley, Hertfordshire",0.0,Category:All articles lacking reliable references,1.127,0,42,0.0713,51657,NatureBoyMD,15.0,917651029,0.1215,917649693,6174.0,12,0.0793,0.0861,0.0,469.0
1,287299,Sarcoidosis,0.0,Category:Abdominal pain,1.1343,0,0,0.0854,48872,81.200.82.117,48.0,935086342,0.1311,926621832,45111.0,55,0.07400000000000001,0.0799,0.0,3943.0
0,175946,David Gilmour,0.0,Category:1946 births,1.1579,0,134,0.0191,49296,Sgeureka,11.0,931157407,0.0515,927008867,86011.0,20,0.0499,0.0525,0.0,11900.0
0,24360229,Military history of Asian Americans,0.0,Category:All articles containing potentially dated statements,1.0968,0,32,0.0211,46901,Lepricavark,21.0,942404656,0.0803,928383716,5605.0,44,0.1841,0.2256,0.0,90.0
1,24989316,Aircraft in fiction,0.0,Category:All articles lacking reliable references,1.1262,0,207,0.0987,49993,HickoryOughtShirt?4,7.0,929033421,0.1446,929033151,50752.0,1,0.0857,0.0937,0.0,4555.0
1,22946471,Rue Mercière,0.0,Category:2nd arrondissement of Lyon,1.1284,0,0,0.0612,46193,2600:387:8:F:0:0:0:4C,26.0,933576953,0.1093,931540054,40762.0,9,0.126,0.1442,0.0,4235.0
0,103895,Pop art,0.0,Category:Art movements,1.123,0,15,0.0488,47309,Starspotter,0.0,935748864,0.0916,933428550,6358.0,0,0.0999,0.111,0.0,615.0
0,2518539,Marshawn Lynch,0.0,Category:1986 births,1.1357,0,31,0.0679,51985,Jimmiefoxx,57.0,940948348,0.1047,939596356,43172.0,10,0.0692,0.0743,0.0,4782.0
0,9650328,Joe Smith (pitcher),0.0,Category:1984 births,1.1145,0,150,0.0585,46854,Ferret,9.0,941619325,0.1258,941618047,110958.0,22,0.0508,0.0536,0.0,12970.0
0,15434402,We Sing. We Dance. We Steal Things.,0.0,Category:2008 albums,1.1145,0,150,0.0585,48122,Ferret,9.0,941619325,0.1258,941618047,110958.0,22,0.0508,0.0536,0.0,12970.0
1,37072730,2009 end of year rugby tests,0.0,,1.1574,0,250,0.0356,47723,The Eloquent Peasant,16.0,946861732,0.063,946861631,40263.0,30,0.0449,0.047,0.0,4623.0
1,2360567,Michael Essien,0.0,Category:1982 births,1.0896,0,9,0.0503,51755,31.35.148.113,238.0,948838151,0.086,946942092,40328.0,140,0.0707,0.076,0.0,4424.0
1,864317,Sd.Kfz. 251,0.0,Category:Armoured personnel carriers,1.1368,0,0,0.0502,48512,181.99.4.252,16.0,948615748,0.0861,948615630,144528.0,1,0.0651,0.0696,0.0,16261.0
