"editid","editor","oldrevisionid","newrevisionid","diffurl","class","annotators","totalannotators","edittime","editcomment","articleid","articletitle"
416483,"68.93.101.219",323062621,326776497,"http://en.wikipedia.org/w/index.php?diff=326776497&oldid=323062621","regular",3,3,"2009-11-19T18:53:47Z",,397467,"When in Rome (band)"
416484,"Zscout370",318125103,326887446,"http://en.wikipedia.org/w/index.php?diff=326887446&oldid=318125103","regular",3,3,"2009-11-20T07:03:23Z","clean up, Replaced: Image: → File:, using [[Project:AutoWikiBrowser|AWB]]",3660977,"Nenad Petrović (chess problemist)"
416485,"131.111.8.102",326912134,326912873,"http://en.wikipedia.org/w/index.php?diff=326912873&oldid=326912134","regular",3,3,"2009-11-20T11:38:58Z",,9295477,"Brochtorff Circle"
416486,"72.231.218.196",326826334,326826823,"http://en.wikipedia.org/w/index.php?diff=326826823&oldid=326826334","vandalism",17,18,"2009-11-19T23:31:08Z","/* Return to Wrestling (2009) */",690231,"Ken Shamrock"
416487,"Suede67",326212139,326555420,"http://en.wikipedia.org/w/index.php?diff=326555420&oldid=326212139","regular",3,3,"2009-11-18T16:15:33Z","correct formatting",376179,"The Wiggles"
416488,"124.177.147.79",326926234,326926434,"http://en.wikipedia.org/w/index.php?diff=326926434&oldid=326926234","vandalism",9,9,"2009-11-20T13:52:17Z","/* History */",349303,"Saudi Arabia"
416489,"24.184.232.247",323415698,326840443,"http://en.wikipedia.org/w/index.php?diff=326840443&oldid=323415698","regular",3,3,"2009-11-20T00:55:24Z","/* Merger With Kyocera */",3748518,"Kyocera Communications"
416490,"Rich Farmbrough",326713404,326899187,"http://en.wikipedia.org/w/index.php?diff=326899187&oldid=326713404","regular",3,3,"2009-11-20T09:24:18Z","GF using [[Project:AutoWikiBrowser|AWB]]",13930099,"Archie Sexton"
416531,"70.241.112.58",325638213,326797032,"http://en.wikipedia.org/w/index.php?diff=326797032&oldid=325638213","regular",3,3,"2009-11-19T20:47:30Z","/* Notable buildings */",332168,"Downtown Houston"
416533,"Degen Earthfast",318961820,326851562,"http://en.wikipedia.org/w/index.php?diff=326851562&oldid=318961820","regular",3,3,"2009-11-20T02:08:56Z","/* Successors */ Iveco",2010783,"Seddon Atkinson"
416534,"NeilN",326878468,326878820,"http://en.wikipedia.org/w/index.php?diff=326878820&oldid=326878468","regular",3,3,"2009-11-20T05:29:57Z","Reverted [[WP:AGF|good faith]] edits by [[Special:Contributions/Robtj966|Robtj966]]; Rv back to culture links. using [[WP:TWINKLE|TW]]",5820,"Confucianism"
416535,"Mandarax",300991661,326789977,"http://en.wikipedia.org/w/index.php?diff=326789977&oldid=300991661","regular",3,3,"2009-11-19T20:09:57Z","Add DEFAULTSORT per [[WP:NAMESORT]] using [[Project:AutoWikiBrowser|AWB]]",23536506,"Dani Wadada Nabudere"
416536,"Robertgreer",326801357,326801411,"http://en.wikipedia.org/w/index.php?diff=326801411&oldid=326801357","regular",3,3,"2009-11-19T21:12:29Z",,4874838,"Principal dancer"
416537,"Monegasque",297327134,326818338,"http://en.wikipedia.org/w/index.php?diff=326818338&oldid=297327134","regular",3,3,"2009-11-19T22:43:51Z",,14690414,"Roland Ducke"
416538,"Trendyboyz15",318691012,326881283,"http://en.wikipedia.org/w/index.php?diff=326881283&oldid=318691012","regular",11,21,"2009-11-20T05:54:33Z","/* Level 2 */",4159693,"Northpoint Shopping Centre"
416540,"75.64.163.137",325971375,326867538,"http://en.wikipedia.org/w/index.php?diff=326867538&oldid=325971375","regular",3,3,"2009-11-20T03:57:29Z","/* Head Coaches */",20920618,"Birmingham–Southern Panthers football"
416612,"Wrestlinglover",326845709,326862648,"http://en.wikipedia.org/w/index.php?diff=326862648&oldid=326845709","regular",7,9,"2009-11-20T03:26:52Z","/* The Meanest Girls (2009–present) */ Still The Beautiful People, this is just a nickname",17407190,"The Beautiful People (professional wrestling)"
416614,"Phantom darkness",326923845,326923943,"http://en.wikipedia.org/w/index.php?diff=326923943&oldid=326923845","regular",3,3,"2009-11-20T13:30:16Z","/* Season One: 2009 - 2010 */",25144204,"List of Accidentally on Purpose episodes"
416615,"199.164.68.202",326746290,326776796,"http://en.wikipedia.org/w/index.php?diff=326776796&oldid=326746290","vandalism",13,21,"2009-11-19T18:55:27Z","/* Flora and fauna */",1645518,"Massachusetts"
416616,"Tdenzer",318113189,326855201,"http://en.wikipedia.org/w/index.php?diff=326855201&oldid=318113189","regular",3,3,"2009-11-20T02:34:24Z",,23189797,"George Fred Keck"
416617,"Philip Trueman",326785775,326785888,"http://en.wikipedia.org/w/index.php?diff=326785888&oldid=326785775","regular",3,3,"2009-11-19T19:46:33Z","[[Help:Reverting|Reverted]] edits by [[Special:Contributions/165.24.252.230|165.24.252.230]] ([[User talk:165.24.252.230|talk]]) to last version by Rizvisa1",22496381,"List of the Chief Justices of Lahore High Court"
416618,"Grim23",326783094,326783104,"http://en.wikipedia.org/w/index.php?diff=326783104&oldid=326783094","regular",3,3,"2009-11-19T19:31:42Z","Reverted edits by [[Special:Contributions/86.13.113.237|86.13.113.237]] to last revision by Metebelis ([[WP:HG|HG]])",2579666,"Cheddar Man"
416619,"83.243.174.247",326917486,326917898,"http://en.wikipedia.org/w/index.php?diff=326917898&oldid=326917486","regular",16,21,"2009-11-20T12:30:39Z",,2139413,"Bobby Gould"
416620,"Mathiaseu",326847284,326899712,"http://en.wikipedia.org/w/index.php?diff=326899712&oldid=326847284","regular",3,3,"2009-11-20T09:29:26Z",,23593,"Pediatrics"
416671,"Mankyboi",324547977,326812249,"http://en.wikipedia.org/w/index.php?diff=326812249&oldid=324547977","regular",3,3,"2009-11-19T22:11:51Z","/* Media */",46709,"County Cork"
416672,"68.144.24.161",325397637,326789324,"http://en.wikipedia.org/w/index.php?diff=326789324&oldid=325397637","regular",3,3,"2009-11-19T20:06:17Z",,20608608,"Gérard Deltell"
416673,"JMW64",326865966,326866166,"http://en.wikipedia.org/w/index.php?diff=326866166&oldid=326865966","regular",3,3,"2009-11-20T03:48:08Z","/* Selected publications */",24782338,"Jeroen van de Weijer"
416675,"CaribDigita",326884571,326884990,"http://en.wikipedia.org/w/index.php?diff=326884990&oldid=326884571","regular",3,3,"2009-11-20T06:35:15Z","/* History */",3514,"Government of Barbados"
416676,"Rave92",326801511,326921119,"http://en.wikipedia.org/w/index.php?diff=326921119&oldid=326801511","regular",3,3,"2009-11-20T13:03:52Z",,344498,"Bar, Montenegro"
416678,"Da Bomber60",326726331,326843979,"http://en.wikipedia.org/w/index.php?diff=326843979&oldid=326726331","vandalism",9,9,"2009-11-20T01:17:55Z",,24384790,"Bunbury Catholic College"
416679,"71.229.175.8",326876535,326886234,"http://en.wikipedia.org/w/index.php?diff=326886234&oldid=326876535","regular",3,3,"2009-11-20T06:51:20Z","/* Reception */",24728513,"W.T.F."
416680,"FinnWiki",324666464,326843894,"http://en.wikipedia.org/w/index.php?diff=326843894&oldid=324666464","regular",3,3,"2009-11-20T01:17:31Z","iw",70087,"Battle Abbey"
416711,"Jasepl",326875845,326876006,"http://en.wikipedia.org/w/index.php?diff=326876006&oldid=326875845","regular",3,3,"2009-11-20T05:05:46Z","/* Terminals */ indent",248449,"OHare International Airport"
416712,"Good Olfactory",326682670,326804684,"http://en.wikipedia.org/w/index.php?diff=326804684&oldid=326682670","regular",3,3,"2009-11-19T21:31:42Z","Removed category [[:Category:St. Louis Rams culture and lore|St. Louis Rams culture and lore]]; Quick-adding category [[:Category:St. Louis Rams|St. Louis Rams]] (using [[WP:HOTCAT|HotCat]])",18226024,"49ers–Rams rivalry"
416714,"MonctonRad",326870442,326871497,"http://en.wikipedia.org/w/index.php?diff=326871497&oldid=326870442","regular",3,3,"2009-11-20T04:28:10Z","/* Education */",21182,"New Brunswick"
416716,"217.14.104.72",326880848,326880983,"http://en.wikipedia.org/w/index.php?diff=326880983&oldid=326880848","regular",3,3,"2009-11-20T05:51:28Z","/* Top 10 goalscorers */",655906,"Azerbaijan national football team"
416717,"Sibbo82",326453577,326792001,"http://en.wikipedia.org/w/index.php?diff=326792001&oldid=326453577","vandalism",15,15,"2009-11-19T20:20:31Z","/* External links */",10491479,"Tom Westley"
416718,"Rich Farmbrough",325399758,326810770,"http://en.wikipedia.org/w/index.php?diff=326810770&oldid=325399758","regular",3,3,"2009-11-19T22:04:14Z","Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]]",5182260,"Nawaf Fahd Humood Al-Otaibi"
416719,"66.207.227.20",326783918,326784286,"http://en.wikipedia.org/w/index.php?diff=326784286&oldid=326783918","vandalism",9,9,"2009-11-19T19:37:54Z","/* 1899-1917: Early life and career */",64962,"Fred Astaire"
416720,"207.38.253.36",326860883,326861039,"http://en.wikipedia.org/w/index.php?diff=326861039&oldid=326860883","regular",3,3,"2009-11-20T03:14:52Z","/* Forensics */",2160183,"Data recovery"
416761,"Caspian blue",326841877,326843074,"http://en.wikipedia.org/w/index.php?diff=326843074&oldid=326841877","regular",3,3,"2009-11-20T01:12:37Z","/* Pyongan cuisine */ more",16793,"Korean cuisine"
416764,"94.96.116.147",326692378,326884441,"http://en.wikipedia.org/w/index.php?diff=326884441&oldid=326692378","regular",3,3,"2009-11-20T06:28:47Z","/* Freight Terminal */",1203751,"Soekarno–Hatta International Airport"
416765,"Wordbuilder",326813391,326817159,"http://en.wikipedia.org/w/index.php?diff=326817159&oldid=326813391","regular",3,3,"2009-11-19T22:37:51Z","[[WP:UNDO|Undid]] revision 326813391 by [[Special:Contributions/198.237.17.16|198.237.17.16]] ([[User talk:198.237.17.16|talk]])",6771,"College football"
416766,"216.164.128.152",326833290,326835727,"http://en.wikipedia.org/w/index.php?diff=326835727&oldid=326833290","regular",7,9,"2009-11-20T00:26:41Z",,61949,"The Oprah Winfrey Show"
416767,"Anthony Appleyard",326618610,326822657,"http://en.wikipedia.org/w/index.php?diff=326822657&oldid=326618610","regular",3,3,"2009-11-19T23:07:12Z","/* Prior to 1900 */ English not LAtin",21492663,"Asbestos"
416768,"Jrwidmer",326434989,326775800,"http://en.wikipedia.org/w/index.php?diff=326775800&oldid=326434989","regular",3,3,"2009-11-19T18:49:42Z",,25114954,"One in a Million: A Memoir"
416769,"76.22.65.31",326848864,326863125,"http://en.wikipedia.org/w/index.php?diff=326863125&oldid=326848864","regular",3,3,"2009-11-20T03:29:41Z",,76033,"The Great Gatsby"
416770,"173.12.23.185",325395151,326775964,"http://en.wikipedia.org/w/index.php?diff=326775964&oldid=325395151","vandalism",9,9,"2009-11-19T18:50:45Z",,1222778,"John Lasseter"
416791,"Varsovian",326913291,326913737,"http://en.wikipedia.org/w/index.php?diff=326913737&oldid=326913291","regular",3,3,"2009-11-20T11:47:32Z","Slight fix to layout. Removal of superfluous full stop.",5151239,"London Victory Celebrations of 1946"
416792,"165.95.11.178",326181704,326775659,"http://en.wikipedia.org/w/index.php?diff=326775659&oldid=326181704","regular",3,3,"2009-11-19T18:48:58Z",,9779281,"Lake Travis High School"
416793,"173.30.227.108",316624831,326824598,"http://en.wikipedia.org/w/index.php?diff=326824598&oldid=316624831","regular",3,3,"2009-11-19T23:18:59Z",,23924539,"Office Web Apps"
416794,"Downwards",326850953,326863900,"http://en.wikipedia.org/w/index.php?diff=326863900&oldid=326850953","regular",3,3,"2009-11-20T03:34:19Z",,25100184,"Titan (dog)"
416795,"Robertgreer",326076964,326804224,"http://en.wikipedia.org/w/index.php?diff=326804224&oldid=326076964","regular",8,9,"2009-11-19T21:28:54Z","Removed category [[:Category:Ballet dancers|Ballet dancers]] (using [[WP:HOTCAT|HotCat]])",24989077,"Andrew Bowman"
416797,"Kintetsubuffalo",326780191,326780285,"http://en.wikipedia.org/w/index.php?diff=326780285&oldid=326780191","regular",3,3,"2009-11-19T19:15:23Z","[[Help:Reverting|Reverted]] edits by [[Special:Contributions/70.244.206.28|70.244.206.28]] ([[User talk:70.244.206.28|talk]]) to last version by Wordbuilder",1823699,"Chicago-style hot dog"
416798,"Christo247",325959779,326846497,"http://en.wikipedia.org/w/index.php?diff=326846497&oldid=325959779","vandalism",16,21,"2009-11-20T01:33:56Z","/* Early life */",2491189,"Cassie (singer)"
416800,"Pgallert",302340750,326894018,"http://en.wikipedia.org/w/index.php?diff=326894018&oldid=302340750","regular",3,3,"2009-11-20T08:22:45Z","Expand, add sources, replace template ([[Template:Administrative divisions of Windhoek]] was split)",953234,"Windhoek Rural"
416871,"Highway99",326866283,326867687,"http://en.wikipedia.org/w/index.php?diff=326867687&oldid=326866283","regular",3,3,"2009-11-20T03:58:20Z","/* Giants and Jets */",1546965,"NFL on television"
416872,"Madmediamaven",324715401,326825039,"http://en.wikipedia.org/w/index.php?diff=326825039&oldid=324715401","regular",3,3,"2009-11-19T23:21:05Z",,14959743,"Gul Agha (computer scientist)"
416873,"96.33.69.4",326676827,326740654,"http://en.wikipedia.org/w/index.php?diff=326740654&oldid=326676827","regular",3,3,"2009-11-19T15:07:27Z","/* Miscellaneous */",456375,"Liberty University"
416874,"203.193.196.135",326865409,326865669,"http://en.wikipedia.org/w/index.php?diff=326865669&oldid=326865409","regular",3,3,"2009-11-20T03:45:07Z","/* Futures */",147411,"Jimmy Eat World"
416875,"Kmm131",326847804,326848087,"http://en.wikipedia.org/w/index.php?diff=326848087&oldid=326847804","regular",3,3,"2009-11-20T01:44:55Z","/* The European Union */",160353,"First World"
416876,"198.103.184.76",323975719,326929555,"http://en.wikipedia.org/w/index.php?diff=326929555&oldid=323975719","regular",3,3,"2009-11-20T14:17:22Z","/* A Short History */ In 2006, the [[Grand River land dispute]] involving [[Aboriginal peoples in Canada|Aboriginals]] brought Caledonia to national attention.",329127,"Caledonia, Ontario"
416879,"Andrwsc",317683398,326818318,"http://en.wikipedia.org/w/index.php?diff=326818318&oldid=317683398","regular",3,3,"2009-11-19T22:43:45Z","use standard flag templates using [[Project:AutoWikiBrowser|AWB]]",3042101,"Better Homes and Gardens (TV series)"
416880,"Tedder",326796995,326801403,"http://en.wikipedia.org/w/index.php?diff=326801403&oldid=326796995","regular",3,3,"2009-11-19T21:12:26Z","Quick-adding category [[:Category:Personal hygiene products|Personal hygiene products]] (using [[WP:HOTCAT|HotCat]])",25127160,"Merry Hempsters"
416931,"Yulia Romero",326353742,326830343,"http://en.wikipedia.org/w/index.php?diff=326830343&oldid=326353742","regular",3,3,"2009-11-19T23:51:15Z","/* Economy */ expand",219975,"Poti"
416932,"76.22.148.20",326877722,326877783,"http://en.wikipedia.org/w/index.php?diff=326877783&oldid=326877722","regular",3,3,"2009-11-20T05:21:43Z","/* 20 */",20901854,"Deaths in 2009"
416933,"Trinniesayrelax",312605774,326901863,"http://en.wikipedia.org/w/index.php?diff=326901863&oldid=312605774","regular",3,3,"2009-11-20T09:51:47Z","/* Music video */",5859347,"Wild Thing (Tone Lōc song)"
416934,"JB Stearns",326816079,326816156,"http://en.wikipedia.org/w/index.php?diff=326816156&oldid=326816079","regular",3,3,"2009-11-19T22:32:40Z","/* References */",22621022,"Junius Brutus Stearns"
416935,"Breein1007",326878780,326879116,"http://en.wikipedia.org/w/index.php?diff=326879116&oldid=326878780","regular",3,3,"2009-11-20T05:32:43Z","text made it seem that sources claim that hamas took control in a US backed coup... clarified the misunderstanding",13913,"Hamas"
416937,"Squiddhartha",314814887,326820419,"http://en.wikipedia.org/w/index.php?diff=326820419&oldid=314814887","regular",3,3,"2009-11-19T22:54:31Z","Add WFTDA leagues navbox",21291740,"Salt City Derby Girls"
416939,"Rich Farmbrough",325968975,326810931,"http://en.wikipedia.org/w/index.php?diff=326810931&oldid=325968975","regular",3,3,"2009-11-19T22:05:02Z","Delink dates ([[WP:MOSUNLINKDATES]]) using [[Project:AutoWikiBrowser|AWB]]",7236177,"NetObjects"
416940,"Mayumashu",326841315,326873333,"http://en.wikipedia.org/w/index.php?diff=326873333&oldid=326841315","regular",3,3,"2009-11-20T04:43:24Z","/* Managers of note */",1023035,"New Zealand national football team"
416971,"Ian C Brown",325545388,326900869,"http://en.wikipedia.org/w/index.php?diff=326900869&oldid=325545388","vandalism",8,15,"2009-11-20T09:41:54Z",,203071,"Herleva"
416972,"Pyrotec",326773707,326788779,"http://en.wikipedia.org/w/index.php?diff=326788779&oldid=326773707","regular",3,3,"2009-11-19T20:03:09Z","/* Origins of the conflict */ grammar",7842319,"Battle of the Gates of Trajan"
416973,"Rosser1954",326802019,326802299,"http://en.wikipedia.org/w/index.php?diff=326802299&oldid=326802019","regular",3,3,"2009-11-19T21:17:37Z","/* External links */",23865337,"Crosbie Castle and the Fullarton estate"
416975,"Shreadedlife",324896809,326879890,"http://en.wikipedia.org/w/index.php?diff=326879890&oldid=324896809","regular",3,3,"2009-11-20T05:39:47Z","/* External links */",5765538,"NWA World Welterweight Championship"
416977,"80.176.249.113",326912313,326912561,"http://en.wikipedia.org/w/index.php?diff=326912561&oldid=326912313","regular",3,3,"2009-11-20T11:35:46Z","/* External links */ adding acknowledgement of this is where list of his film and TV appearances are accessible",2197689,"Ed Flanders"
416978,"208.127.88.154",326879278,326883055,"http://en.wikipedia.org/w/index.php?diff=326883055&oldid=326879278","vandalism",13,21,"2009-11-20T06:13:59Z",,19635149,"Guy Harvey"
416979,"Zscout370",324600427,326896355,"http://en.wikipedia.org/w/index.php?diff=326896355&oldid=324600427","regular",3,3,"2009-11-20T08:50:57Z","clean up using [[Project:AutoWikiBrowser|AWB]]",2102207,"Victoria Cross (Canada)"
416980,"74.83.126.88",326739471,326739852,"http://en.wikipedia.org/w/index.php?diff=326739852&oldid=326739471","regular",3,3,"2009-11-19T15:01:41Z","/* List of Decorations */",362987,"Audie Murphy"
417031,"Bearcat",326793772,326820549,"http://en.wikipedia.org/w/index.php?diff=326820549&oldid=326793772","regular",3,3,"2009-11-19T22:55:12Z","[[WP:NALBUMS]] quite specifically says that a release by a notable band *is* notable enough.",4937413,"The Hidden Cameras Play the CBC Sessions"
417033,"122.3.181.212",326863499,326863829,"http://en.wikipedia.org/w/index.php?diff=326863829&oldid=326863499","vandalism",11,21,"2009-11-20T03:33:53Z",,24627942,"Ramon Magsaysay Memorial Colleges"
417034,"JukoFF",324364593,326739099,"http://en.wikipedia.org/w/index.php?diff=326739099&oldid=324364593","regular",12,16,"2009-11-19T14:56:14Z",,5430211,"Camillo Cibin"
417035,"Steveprutz",322631934,326848841,"http://en.wikipedia.org/w/index.php?diff=326848841&oldid=322631934","regular",3,3,"2009-11-20T01:49:54Z","indentation",222131,"Purple Rain"
417036,"Eugene-elgato",326848699,326849256,"http://en.wikipedia.org/w/index.php?diff=326849256&oldid=326848699","regular",3,3,"2009-11-20T01:52:51Z","/* Technical characteristics */",1169088,"Cypriot Greek"
417038,"Cheatsheet",326642643,326807050,"http://en.wikipedia.org/w/index.php?diff=326807050&oldid=326642643","regular",3,3,"2009-11-19T21:45:14Z","clean up format",25127192,"St. Michaels Abbey"
417039,"95.35.157.90",325896827,326932024,"http://en.wikipedia.org/w/index.php?diff=326932024&oldid=325896827","regular",7,9,"2009-11-20T14:36:27Z",,18384567,"ItsJustSomeRandomGuy"
417040,"Ardavu",326881530,326881667,"http://en.wikipedia.org/w/index.php?diff=326881667&oldid=326881530","regular",3,3,"2009-11-20T05:58:50Z",,548259,"Van Helsing (film)"
417101,"J04n",320334527,326875843,"http://en.wikipedia.org/w/index.php?diff=326875843&oldid=320334527","regular",3,3,"2009-11-20T05:04:27Z","wikilinking [[Eddie Bayers]]",14724596,"Savin the Honky Tonk"
417103,"68.221.11.174",326418095,326812504,"http://en.wikipedia.org/w/index.php?diff=326812504&oldid=326418095","regular",11,21,"2009-11-19T22:13:16Z",,858756,"Bogan"
417104,"LilHelpa",287750229,326843676,"http://en.wikipedia.org/w/index.php?diff=326843676&oldid=287750229","regular",3,3,"2009-11-20T01:16:17Z","typo: nerby -> nearby",11099767,"Gare de Massy-Verrières"
417105,"Boleyn",302655576,326779511,"http://en.wikipedia.org/w/index.php?diff=326779511&oldid=302655576","regular",3,3,"2009-11-19T19:10:52Z","rem per [[MOS:DABRL]]",7563255,"Patrick Dowling"
417106,"Sparrowhawk64",326232367,326909402,"http://en.wikipedia.org/w/index.php?diff=326909402&oldid=326232367","regular",3,3,"2009-11-20T11:06:10Z","/* 2005&ndash;now: Greens back in opposition */",12246,"Alliance 90/The Greens"
417107,"Mandarax",326147748,326815906,"http://en.wikipedia.org/w/index.php?diff=326815906&oldid=326147748","regular",3,3,"2009-11-19T22:31:25Z","Add DEFAULTSORT per [[WP:NAMESORT]] using [[Project:AutoWikiBrowser|AWB]]",24513528,"John Candy (RAF officer)"
417108,"Roisterer",325414859,326823706,"http://en.wikipedia.org/w/index.php?diff=326823706&oldid=325414859","regular",3,3,"2009-11-19T23:14:09Z","/* Personnel */link",559985,"Garma (album)"
417109,"BOZ",326862237,326869194,"http://en.wikipedia.org/w/index.php?diff=326869194&oldid=326862237","regular",3,3,"2009-11-20T04:09:17Z","switch these around",20945,"Might and Magic"
417161,"Cunibertus",325824576,326823519,"http://en.wikipedia.org/w/index.php?diff=326823519&oldid=325824576","regular",3,3,"2009-11-19T23:12:46Z","/* Current and previous names */",3605155,"Haplogroup E1b1b (Y-DNA)"
417162,"Mancubusman",326843988,326849860,"http://en.wikipedia.org/w/index.php?diff=326849860&oldid=326843988","regular",3,3,"2009-11-20T01:56:57Z",,25127109,"Faded Paper Figures"
417163,"Matthew Beta",325808233,326894310,"http://en.wikipedia.org/w/index.php?diff=326894310&oldid=325808233","regular",3,3,"2009-11-20T08:26:26Z","/* Ropemakers case */ in Hungarian these are not capital",23336667,"Katalin Varga"
417165,"Guy du Plessis",326920509,326920742,"http://en.wikipedia.org/w/index.php?diff=326920742&oldid=326920509","regular",3,3,"2009-11-20T13:00:32Z","/* See also */",608789,"Integral (spirituality)"
417166,"Noq",315672625,326928239,"http://en.wikipedia.org/w/index.php?diff=326928239&oldid=315672625","regular",3,3,"2009-11-20T14:06:46Z","revert old vandalism",2240232,"List of Singaporeans by net worth"
417167,"Cesar aviles21",326714243,326855016,"http://en.wikipedia.org/w/index.php?diff=326855016&oldid=326714243","regular",3,3,"2009-11-20T02:33:06Z","I have added an additional site to the list of social networks.",2872825,"List of social networking websites"
