editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,longest_Word,bad_words,character_distribution
46816,913349040,1.0967,0.0568,0.0943,0.0695,0.0746,InternetArchiveBot,914579547,25,0,67,0,0.0,12.0,0.0,
48153,920200083,1.135,0.0344,0.0596,0.0699,0.0751,42.111.144.41,937027840,3,0,18,1,0.0,12.0,0.0,
49544,927475392,1.1251,0.0543,0.1094,0.079,0.0858,Spacejam2,932682083,28,0,20,0,0.0,14.0,0.0,
51790,927813524,1.1428,0.013000000000000001,0.0274,0.0637,0.0679,2001:56A:7582:6C00:EC19:5BCD:4960:8C9A,934502845,74,1,0,1,0.030303030303030307,13.0,0.0,
52043,929176584,1.1404,0.0839,0.1133,0.0707,0.0761,Sactacoman,934745131,1,0,20,0,0.0,133.0,0.0,
47598,934434350,1.1392,0.071,0.1082,0.0841,0.0918,Amjmfareham1,949152888,75,0,81,0,0.0,78.0,0.0,
50636,938109958,1.1469,0.0569,0.1124,0.0633,0.0675,163.230.250.203,945843395,0,0,0,1,0.0,13.0,0.0,
48508,939861687,1.1303,0.02,0.0396,0.0475,0.0499,85.199.231.44,943880598,0,0,0,1,0.0,14.0,0.0,
51194,940507747,1.1347,0.0428,0.0966,0.0977,0.1083,Travellin,940507828,1,0,13,0,0.0,12.0,0.0,
49503,941072535,1.1401,0.0794,0.1292,0.0777,0.0843,TylerKutschbach,946748057,0,1,0,0,0.006896551724137931,181.0,0.0,
55268,941072535,1.1401,0.0794,0.1292,0.0777,0.0843,TylerKutschbach,946748057,0,1,0,0,0.006896551724137931,181.0,0.0,
48593,944478345,1.1459,0.0467,0.0978,0.0622,0.0664,2806:109F:4:FB1C:1442:5517:79CB:9FC,947737382,1,0,22,1,0.0,11.0,0.0,
51263,945280316,1.1406,0.0926,0.1259,0.0623,0.0664,Ich,948037688,6,0,30,0,0.0,20.0,0.0,
47879,945325131,1.1493,0.0511,0.099,0.0662,0.0709,Steel1943,946847818,2,0,7,0,0.0,18.0,0.0,
51370,945499899,1.1379,0.0798,0.1792,0.1106,0.1243,50.26.172.216,946066683,0,0,0,1,0.0,7.0,0.0,
49721,947089773,1.1281,0.0329,0.0799,0.0917,0.10099999999999999,Kjaseel,947089932,18,0,15,0,0.0,8.0,0.0,
49248,947687903,1.0888,0.0654,0.095,0.0849,0.0927,GRanemos1,947687934,3,0,25,0,0.0,12.0,0.0,
49853,948261173,1.1468,0.0307,0.0541,0.0352,0.0364,Wtshymanski,948405342,120,0,23,0,0.0,124.0,0.0,
49898,949102160,1.1313,0.0649,0.0981,0.0884,0.0969,Iridescent,949120389,0,1,77,0,0.013605442176870748,243.0,0.0,
50450,647275636,1.1662,0.0267,0.0533,0.1528,0.1774,Paine Ellsworth,733121938,45,0,20,1,0.0,9.0,0.0,
47541,883236957,1.1344,0.0321,0.0521,0.0693,0.0745,Ira Leviton,897255136,1,1,53,1,0.026490066225165563,18.0,0.0,
51335,897218210,1.1175,0.0484,0.1151,0.0766,0.083,Redactyll,897224839,668,0,172,0,0.0,84.0,0.0,
46268,908507225,1.1387,0.0323,0.0715,0.0607,0.0646,Mcc1789,937474841,1,1,40,0,0.04789272030651341,58.0,0.0,
48832,918023662,1.1346,0.0611,0.0945,0.0908,0.0999,Danimal57,919359731,1,0,24,0,0.0,18.0,0.0,
48641,918792801,1.1526,0.053,0.0914,0.0972,0.1076,2001:B07:AE5:204:A0B3:E01F:4071:7E50,924022741,18,0,23,1,0.0,7.0,0.0,
51563,920672154,1.1309,0.0128,0.0562,0.0589,0.0625,Alaney2k,925041020,5,0,104,0,0.0,19.0,0.0,
51758,922670498,1.1201,0.0543,0.0743,0.081,0.0881,Geregen2,935110373,59,0,12,0,0.0,0.0,0.0,
47441,925027967,1.136,0.0526,0.1039,0.0573,0.0608,Edifrumpie,926959765,257,0,31,0,0.0,132.0,0.0,
50559,928989712,1.12,0.0879,0.1567,0.0774,0.0839,2806:109F:1B:BEC6:9879:484:98F3:49C,942983482,7,0,13,1,0.0,87.0,0.0,
46192,933576953,1.1284,0.0629,0.111,0.1268,0.1452,TheDeviantPro,933594438,9,0,140,0,0.0,29.0,0.0,
51269,935790100,1.1499,0.0664,0.1024,0.1293,0.1485,2601:443:380:7F20:14CE:C170:79DB:9E2B,935794147,1,0,13,1,0.0,1.0,0.0,
49415,936068499,1.1446,0.054000000000000006,0.0847,0.053,0.055999999999999994,73.222.232.195,945162771,151,0,22,1,0.0,11.0,0.0,
47653,939750657,1.1441,0.0538,0.0878,0.0421,0.0439,Allen Tsui,942549359,0,0,29,1,0.0,6.0,0.0,
49896,940782524,1.1375,0.0376,0.0743,0.067,0.0718,61.216.26.1,940913639,0,0,0,1,0.0,84.0,0.0,
46641,944802803,1.117,0.033,0.0606,0.0493,0.0519,Spicemix,944803031,0,0,41,0,0.0,20.0,0.0,
49937,945019823,1.1287,0.0371,0.0619,0.0574,0.0609,Ovjeet rabha,945691275,0,0,31,1,0.0,12.0,0.0,
48350,945878134,1.1019,0.0507,0.086,0.0617,0.0658,ABCDE22,945878550,165,1,59,0,0.007352941176470587,107.0,0.0,
47683,948207161,1.1522,0.0717,0.1407,0.0752,0.0813,Tbhotch,948207247,19,0,31,0,0.0,19.0,0.0,
46990,948358605,1.095,0.002,0.0393,0.1572,0.1865,Khajidha,948736065,4,0,32,0,0.0,19.0,0.0,
48275,411695935,1.177,0.0196,0.0392,0.26,0.3421,Steven Crossin,915477921,0,0,131,1,0.0,0.0,0.0,
50808,490423892,1.1623,0.0847,0.1186,0.2642,0.35,The Transhumanist,838623685,0,0,77,1,0.0,0.0,0.0,
47449,500188783,1.1767,0.0435,0.1304,0.5238,1.0,AvicBot,500668765,0,0,50,0,0.0,17.0,0.0,
48774,702198672,1.1235,0.044000000000000004,0.0968,0.0778,0.0842,Nick Moyes,751885518,10,0,34,1,0.0,35.0,0.0,
47807,730445680,1.1352,0.1391,0.1541,0.1991,0.2473,Tom.Reding,735062660,44,0,117,1,0.0,21.0,0.0,
49193,833165319,1.1307,0.0848,0.1022,0.0775,0.0839,GreatBalfoursGhost,833165407,10,0,24,0,0.0,21.0,0.0,
47058,852284539,1.1289,0.0471,0.1093,0.1297,0.149,DeprecatedFixerBot,866421090,11,0,376,0,0.0,9.0,0.0,
47256,872153984,1.135,0.0821,0.1344,0.1257,0.1437,2605:A000:140D:4316:B124:F224:7089:6883,872154068,9,0,0,1,0.0,13.0,0.0,
48093,891070766,1.1375,0.0171,0.0413,0.0344,0.0356,AnomieBOT,891073007,32,0,43,0,0.0,26.0,0.0,
49635,903875329,1.137,0.0626,0.0915,0.0715,0.077,2001:8003:A836:BB00:AC63:E928:6017:8EA,914148037,0,0,0,1,0.0,12.0,0.0,
52165,905774953,1.1437,0.0397,0.0784,0.0427,0.0446,Tom.Reding,924133773,1218,1,59,1,0.02127659574468085,238.0,0.0,
47811,907243984,1.1295,0.0412,0.0736,0.0745,0.0804,Bearcat,946065872,5,0,110,0,0.0,15.0,0.0,
50325,912677538,1.1181,0.0203,0.0327,0.0464,0.0486,Monkbot,916772550,1,0,160,0,0.0,139.0,0.0,
51657,917649693,1.127,0.0713,0.1215,0.0793,0.0861,NatureBoyMD,917651029,12,0,42,0,0.0,15.0,0.0,
48872,926621832,1.1343,0.0854,0.1311,0.07400000000000001,0.0799,81.200.82.117,935086342,55,0,0,1,0.0,48.0,0.0,
49296,927008867,1.1579,0.0191,0.0515,0.0499,0.0525,Sgeureka,931157407,20,0,134,0,0.0,11.0,0.0,
46901,928383716,1.0968,0.0211,0.0803,0.1841,0.2256,Lepricavark,942404656,44,0,32,0,0.0,21.0,0.0,
49993,929033151,1.1262,0.0987,0.1446,0.0857,0.0937,HickoryOughtShirt?4,929033421,1,0,207,1,0.0,7.0,0.0,
46193,931540054,1.1284,0.0612,0.1093,0.126,0.1442,2600:387:8:F:0:0:0:4C,933576953,9,0,0,1,0.0,26.0,0.0,
47309,933428550,1.123,0.0488,0.0916,0.0999,0.111,Starspotter,935748864,0,0,15,0,0.0,0.0,0.0,
51985,939596356,1.1357,0.0679,0.1047,0.0692,0.0743,Jimmiefoxx,940948348,10,0,31,0,0.0,57.0,0.0,
46854,941618047,1.1145,0.0585,0.1258,0.0508,0.0536,Ferret,941619325,22,0,150,0,0.0,9.0,0.0,
48122,941618047,1.1145,0.0585,0.1258,0.0508,0.0536,Ferret,941619325,22,0,150,0,0.0,9.0,0.0,
47723,946861631,1.1574,0.0356,0.063,0.0449,0.047,The Eloquent Peasant,946861732,30,0,250,1,0.0,16.0,0.0,
51755,946942092,1.0896,0.0503,0.086,0.0707,0.076,31.35.148.113,948838151,140,0,9,1,0.0,238.0,0.0,
48512,948615630,1.1368,0.0502,0.0861,0.0651,0.0696,181.99.4.252,948615748,1,0,0,1,0.0,16.0,0.0,
49767,190600460,1.2325,0.0417,0.0833,0.4348,0.7143,Paine Ellsworth,653587543,0,0,21,1,0.0,0.0,0.0,
50601,520630252,1.1769,0.037000000000000005,0.0741,0.3846,0.5882,Cbbkr,520634890,0,0,24,0,0.0,0.0,0.0,
48536,545383940,1.1586,0.1489,0.1915,0.3333,0.4815,AvicBot,696924374,9,1,69,0,0.16666666666666666,10.0,0.0,
49031,656193260,1.1817,0.0179,0.0357,0.2727,0.3659,The Anome,656193576,34,0,255,1,0.0,11.0,0.0,
50668,691393477,1.1217,0.1145,0.1736,0.1081,0.1211,Expandinglight5,801617520,7,1,0,0,0.023809523809523808,68.0,0.0,
49999,773582022,1.1161,0.0285,0.0896,0.0734,0.0792,Robby,805510980,14,0,48,0,0.0,0.0,0.0,
46668,848888347,1.1323,0.045,0.073,0.0602,0.064,KidAd,864563062,25,0,0,0,0.0,26.0,0.0,
46388,863228416,1.1225,0.2433,0.3605,0.045,0.0471,Akrasia25,903170308,72,0,181,0,0.0,19.0,0.0,
49597,874244256,1.124,0.0598,0.0879,0.1081,0.1211,SirZPthundergod9001,878021687,9,0,58,0,0.0,9.0,0.0,
48885,895260949,1.1351,0.0546,0.1489,0.1026,0.1143,BrownHairedGirl,921210746,3,0,115,0,0.0,31.0,0.0,
51049,903279969,1.0585,0.0274,0.0558,0.0564,0.0598,2601:281:CA80:1350:A10B:F89B:7A3C:E9B8,920928092,92,1,19,1,0.03508771929824561,9.0,0.0,
65226,903279969,1.0585,0.0274,0.0558,0.0564,0.0598,2601:281:CA80:1350:A10B:F89B:7A3C:E9B8,920928092,92,1,19,1,0.03508771929824561,9.0,0.0,
50854,918075309,1.1426,0.0594,0.1751,0.1262,0.1444,KingSkyLord,949091114,64,0,16,0,0.0,0.0,0.0,
51462,920184169,1.1231,0.0324,0.0756,0.0977,0.1083,Certes,935768161,20,0,154,0,0.0,155.0,0.0,
51048,920928092,1.0586,0.0272,0.0555,0.0563,0.0597,Reyk,922820706,335,0,15,0,0.0,11.0,0.0,
65225,920928092,1.0586,0.0272,0.0555,0.0563,0.0597,Reyk,922820706,335,0,15,0,0.0,11.0,0.0,
50495,923789988,1.1296,0.06,0.0982,0.0964,0.1066,Dormskirk,931678021,62,1,3,0,0.06666666666666668,16.0,0.0,
49482,937481519,1.1522,0.0645,0.1117,0.0619,0.066,Davide King,937872740,0,0,83,1,0.0,105.0,0.0,
52061,939131825,1.0891,0.0556,0.098,0.0706,0.076,Xexerss,949392957,37,0,161,0,0.0,23.0,0.0,
57583,939131825,1.0891,0.0556,0.098,0.0706,0.076,Xexerss,949392957,37,0,161,0,0.0,23.0,0.0,
65129,939131825,1.0891,0.0556,0.098,0.0706,0.076,Xexerss,949392957,37,0,161,0,0.0,23.0,0.0,
47875,939700929,1.1449,0.0445,0.0859,0.0565,0.0599,AnomieBOT,939710962,19,0,33,0,0.0,34.0,0.0,
50413,940472073,1.1241,0.0413,0.0881,0.0797,0.0865,81.105.53.14,942789643,19,1,0,1,0.027777777777777776,17.0,0.0,
47996,941096682,1.1017,0.0625,0.1071,0.0647,0.0692,Staffordshire Terrier,942565329,34,0,19,1,0.0,76.0,0.0,
48114,943344465,1.1569,0.0543,0.0866,0.0665,0.0713,DannyS712,943344496,11,0,266,0,0.0,26.0,0.0,
49456,944220170,1.0747,0.0516,0.0802,0.0415,0.0433,211.168.138.88,944490860,0,0,57,1,0.0,0.0,0.0,
47385,944371990,1.1026,0.067,0.1276,0.0562,0.0596,2601:406:4080:9E6:34C8:4BC6:EB02:E229,946645333,29,0,35,1,0.0,46.0,0.0,
50097,944925535,1.1438,0.0267,0.0693,0.0666,0.0714,86.21.217.229,945144837,15,1,10,1,0.005952380952380952,132.0,0.0,
48228,945515193,1.1445,0.0354,0.0782,0.062,0.0661,JJMC89 bot III,945596228,43,0,158,1,0.0,0.0,0.0,
48726,946968455,1.1148,0.0748,0.1358,0.0626,0.0668,Hardyplants,948108024,403,1,58,0,0.014388489208633094,74.0,0.0,
50523,948553194,1.1499,0.0528,0.0673,0.0699,0.0751,Keith-264,948560374,5,1,21,1,0.027027027027027032,20.0,0.0,
51098,948978494,1.0628,0.0583,0.0915,0.0646,0.0691,115.164.188.202,949370897,12,1,13,1,0.005780346820809247,115.0,0.0,
49629,949197055,1.1377,0.0549,0.1322,0.1581,0.1878,Movies Time,949229547,26,0,279,1,0.0,16.0,0.0,
51174,584822263,1.1727,0.025,0.075,0.3684,0.56,Amakuru,584822887,13,0,56,0,0.0,9.0,0.0,
45977,604943365,1.1273,0.02,0.0821,0.0552,0.0584,Planonasus,672747071,5,0,227,0,0.0,15.0,0.0,
48137,696308166,1.1687,0.024,0.055999999999999994,0.0535,0.0564,Bot1058,932939244,0,0,91,0,0.0,0.0,0.0,
50914,784279601,1.1362,0.0166,0.0524,0.0451,0.0472,InternetArchiveBot,801355562,77,0,57,0,0.0,61.0,0.0,
49972,796786529,1.0582,0.01,0.0597,0.0921,0.1014,Donner60,796786860,17,0,147,0,0.0,15.0,0.0,
47729,800198095,1.1382,0.0316,0.0857,0.0813,0.0885,Filelakeshoe,801483471,44,0,107,0,0.0,19.0,0.0,
46690,871921589,1.1235,0.0467,0.0944,0.0731,0.0789,2601:153:900:43F0:562:7B0A:752E:EA79,901394946,4,0,214,1,0.0,9.0,0.0,
49045,890940773,1.1139,0.0706,0.1065,0.0968,0.1071,50.235.139.102,890944009,0,0,0,1,0.0,32.0,0.0,
51167,905387644,1.113,0.1784,0.2778,0.1476,0.1731,WikiCleanerBot,912026229,2,0,114,0,0.0,11.0,0.0,
46251,921601108,1.109,0.0346,0.0653,0.0356,0.0369,Krakkos,932409387,33,0,0,0,0.0,18.0,0.0,
50311,922837886,1.1171,0.1235,0.1941,0.0967,0.1071,Citation bot,929750782,54,0,243,1,0.0,29.0,0.0,
51568,924914059,1.1358,0.0536,0.099,0.0654,0.07,7&6=thirteen,933520977,37,0,52,1,0.0,11.0,0.0,
55702,924914059,1.1358,0.0536,0.099,0.0654,0.07,7&6=thirteen,933520977,37,0,52,1,0.0,11.0,0.0,
49620,928636372,1.1293,0.0311,0.0559,0.0371,0.0385,InternetArchiveBot,929904502,43,1,55,0,0.1111111111111111,113.0,0.0,
46282,928907722,1.1203,0.0399,0.0912,0.1021,0.1136,138.123.94.251,942921996,0,0,0,1,0.0,12.0,0.0,
47818,933329931,1.1398,0.0262,0.0944,0.16,0.1905,TommyBoy,935710853,1,0,47,0,0.0,8.0,0.0,
46187,935866084,1.1324,0.0528,0.0979,0.073,0.0788,46.208.234.40,942251059,27,0,0,1,0.0,19.0,0.0,
46851,943016532,1.1339,0.0423,0.0906,0.0787,0.0854,2A02:C7F:200B:D200:3D62:ABB4:BC:755C,943016580,19,0,19,1,0.0,15.0,0.0,
46543,943200372,1.1308,0.0122,0.0329,0.0641,0.0685,SirEdimon,943488363,36,0,0,0,0.0,0.0,0.0,
51610,944341304,1.16,0.0318,0.067,0.0761,0.0824,Khajidha,947342430,3,0,25,0,0.0,97.0,0.0,
46375,945126373,1.1513,0.0604,0.1183,0.0705,0.0758,WikiCleanerBot,946540300,1,0,98,0,0.0,17.0,0.0,
51873,945818514,1.1238,0.0858,0.1354,0.0648,0.0693,122.161.146.44,946147668,142,0,10,1,0.0,0.0,0.0,
48935,946924040,1.1391,0.1194,0.1962,0.1335,0.154,Brianis19,948262755,0,1,0,0,0.019230769230769232,139.0,0.0,
50329,948389672,1.1372,0.0769,0.1655,0.1059,0.1184,96.50.232.191,949296671,17,0,10,1,0.0,14.0,0.0,
51520,948730496,1.1154,0.0584,0.0874,0.0382,0.0397,Roxy the dog,948733008,98,0,149,1,0.0,0.0,0.0,
50580,335193775,1.2165,0.0417,0.0833,0.4348,0.7143,Capetien,335194133,42,0,0,0,0.0,9.0,0.0,
61075,335193775,1.2165,0.0417,0.0833,0.4348,0.7143,Capetien,335194133,42,0,0,0,0.0,9.0,0.0,
51699,433693521,1.1363,0.01,0.027999999999999997,0.0642,0.0686,Tassedethe,448433789,20,0,0,0,0.0,13.0,0.0,
46766,730490277,1.1266,0.1287,0.1471,0.1803,0.2188,Tom.Reding,735092180,32,0,117,1,0.0,16.0,0.0,
50449,733121938,1.1589,0.0177,0.0354,0.1364,0.1562,AvicBot,788013100,13,0,85,0,0.0,11.0,0.0,
46370,784470094,1.1939,0.0118,0.0235,0.2262,0.2879,Xezbeth,869919820,5,0,28,0,0.0,20.0,0.0,
47278,822542054,1.1388,0.0555,0.0826,0.0785,0.0851,BD2412,902422527,1,1,100,0,0.009569377990430622,147.0,0.0,
47003,822947950,1.124,0.1025,0.1395,0.0896,0.0984,Joseph2302,877447957,37,0,15,0,0.0,97.0,0.0,
47060,836574631,1.1287,0.0464,0.1093,0.1303,0.1498,Rmcrae2015,836574732,25,0,54,0,0.0,15.0,0.0,
51152,838006421,1.1283,0.0369,0.066,0.0557,0.059000000000000004,Risto hot sir,843794763,13,0,0,1,0.0,13.0,0.0,
51172,861234946,1.1298,0.0691,0.1085,0.1333,0.1537,Dmoore5556,933270820,56,0,25,0,0.0,16.0,0.0,
50991,866591962,1.1396,0.0742,0.1413,0.0961,0.1062,Sully198787,870706250,3,0,17,0,0.0,14.0,0.0,
