editid,oldrevisionid,character_diversity,digit_ratio,non_alpha_numeric_ratio,upper_to_all,upper_to_lower,editor,newrevisionid,size_increment,class,comment_len,Anonymous,vulgar_word_ratio,character_distribution,longest_Word,bad_words
41483,327974247,1.1409,0.1656,0.219,0.093,0.1025,Malleus Fatuorum,327974327,14,0,31,1,0.024390244,7.99E-04,108,0
34992,328167872,1.0923,0.051,0.1011,0.0947,0.1046,208.120.77.51,328278342,12,0,24,1,0.026315789,6.31E-04,87,0
30771,328295034,1.14,0.0113,0.0328,0.0547,0.0578,Hadrianmendoza,328295179,10,0,17,0,0.022727273,0.001317064,14,0
39927,328077999,1.122,0.136,0.2512,0.1582,0.188,Sam Barsoom,328078475,92,0,6,1,0,Infinity,66,0
38239,327394203,1.0988,0.0276,0.0651,0.0703,0.0756,Seaphoto,327430423,2,0,134,0,0,0.15806226,59,0
25662,314564594,1.1288,0.0956,0.1315,0.0815,0.0887,121.134.54.148,327035389,12,0,0,1,0,Infinity,7,0
36502,328075260,1.0956,0.0987,0.1915,0.0855,0.0935,Xls,328099266,53,0,148,0,0,0.25365677,114,0
26293,329720034,1.1387,0.0482,0.0693,0.1083,0.1214,Bonewah,329720156,41,0,0,0,0,Infinity,10,0
24920,327387578,1.1248,0.0285,0.0635,0.0833,0.0909,Az81964444,327387660,10,0,0,0,0,Infinity,10,0
25715,239233904,1.1343,0.0425,0.0967,0.0964,0.1063,M2545,327473110,39,0,0,0,0,Infinity,23,0
21243,327481296,1.1163,0.0758,0.1152,0.0954,0.1054,63.228.192.132,327504876,280,1,44,1,0,Infinity,13,0
30111,327187023,1.0995,0.0725,0.1105,0.0875,0.0959,Mikhailov Kusserow,327187278,0,0,128,1,0,0,0,0
17030,327017872,1.0734,0.036,0.071,0.0646,0.069,65.75.20.183,329142468,9,1,0,1,0.111111111,Infinity,9,0
37287,326800779,1.1264,0.0485,0.0736,0.1137,0.1283,67.194.66.2,326800902,2,0,16,1,0,7.73E-05,323,0
2680,329938617,1.1402,0.0082,0.045,0.0346,0.0358,Michael Hardy,329938708,6,0,22,1,0,Infinity,13,0
36765,323181025,1.0958,0.0651,0.1134,0.0998,0.1108,IndulgentReader,327824797,39,0,16,0,0,Infinity,6,0
15502,326680098,1.1401,0.0129,0.0415,0.056,0.0594,70.26.236.223,328517358,0,1,25,1,0,0,0,0
31614,325329950,1.132,0.0692,0.1323,0.0609,0.0649,Everything counts,327181350,7,0,8,1,0.007692308,1.03E-04,100,0
3921,327317015,1.1284,0.0228,0.03,0.0566,0.06,Emanuel Kingsley,327317322,2,0,10,1,0,0.109482974,5,0
39598,327138928,1.1275,0.0155,0.0263,0.0576,0.0611,174.116.84.16,328485011,0,0,16,1,0,0.001604507,47,0
42111,329926813,1.1282,0.0514,0.1048,0.0771,0.0835,30daysinAK,329928402,36,0,16,0,0,Infinity,19,0
4250,298404228,1.1257,0.1004,0.125,0.1036,0.1156,Benjimina,327427417,18,0,0,0,0,0.030737633,16,0
931,327907946,1.1329,0.0368,0.064,0.0961,0.1063,Benjiboi,327988379,0,0,189,0,0,0,0,0
31532,315589993,1.128,0.0631,0.1052,0.0851,0.0929,WildCherry06,327158139,52,0,16,0,0,Infinity,22,0
9529,328202016,1.0662,0.07,0.1122,0.0581,0.0617,94.194.30.11,328640549,6,1,0,1,0.011627907,Infinity,69,0
10679,329698907,1.06,0.0221,0.0452,0.0567,0.0602,117.196.129.132,329699129,0,0,0,1,0,0.02100446,8,0
42372,329730005,1.103,0.0146,0.0318,0.0483,0.0508,OverlordQ,329730090,37,0,130,0,0,0.065296315,17,0
24650,326325173,1.0903,0.0206,0.0517,0.0404,0.0421,125.60.231.118,327614110,2,0,36,1,0,Infinity,20,0
14167,327149705,1.1401,0.0377,0.0772,0.0604,0.0643,Jujimufu,327174121,184,0,200,0,0,0.01912897,73,0
30531,326940212,1.1483,0.0427,0.0751,0.0749,0.0809,Patrickneil,327717008,433,0,42,0,0,Infinity,23,0
43046,327392269,1.1331,0.0034,0.0604,0.1322,0.1523,NE2,329608621,2,0,34,0,0,Infinity,2,0
7781,329263607,1.0871,0.028,0.0586,0.0786,0.0853,165.139.80.10,329263943,47,1,0,1,0.01010101,Infinity,28,0
40030,319812272,1.1235,0.0129,0.0226,0.0483,0.0508,Diliff,328205483,362,0,50,0,0,Infinity,14,0
37188,328500039,1.0939,0.031,0.0512,0.0716,0.077,83.10.126.15,329070606,13,0,20,1,0,3.89E-04,26,0
1962,318207386,1.1261,0.0254,0.0574,0.1142,0.1288,Stepheng3,329775668,0,0,10,0,0,0.11832036,64,0
6122,329444476,1.1307,0.0652,0.0843,0.1351,0.1562,Escape Orbit,329461112,29,0,164,1,0,0,0,0
39665,326933160,1.0775,0.0075,0.035,0.0369,0.0382,V8rik,326965509,126,0,40,0,0,Infinity,50,0
26376,323259523,1.131,0.0788,0.0931,0.0766,0.0828,Romeisburning,328133523,36,0,0,0,0,Infinity,13,0
34441,329112991,1.1256,0.0602,0.1348,0.0775,0.0839,Pohick2,329449675,19,0,20,0,0,Infinity,35,0
3964,289053875,1.1277,0.0667,0.0984,0.0933,0.1029,89.186.184.13,327850615,0,0,0,1,0,Infinity,11,0
37738,327149485,1.1392,0.0439,0.0518,0.0858,0.0938,Johnluisocasio,327150149,1,0,13,0,0,6.75E-04,19,0
26785,327929709,1.13,0.0311,0.0783,0.0992,0.11,64.26.72.143,327929732,0,0,10,1,0,0.016922476,11,0
33164,328841741,1.1951,0.0027,0.0218,0.0279,0.0286,AnonMoos,328841883,0,0,0,0,0,0,0,0
14810,328845669,1.1039,0.0351,0.1068,0.1151,0.1301,200.89.135.170,328845782,257,0,49,1,0,Infinity,14,0
30663,327644092,1.1418,0.0498,0.1213,0.0765,0.0829,Hassaan19,327706341,1081,0,0,0,0.005952381,Infinity,157,0
39993,327470044,1.1411,0.0556,0.1615,0.092,0.1013,Msalmon,327470370,21,0,36,0,0,1.7430873,9,0
40832,292810694,1.1453,0.0781,0.1687,0.0693,0.0744,Rich Farmbrough,329478869,1,0,74,1,0,6.85E-06,73,0
25091,329716786,1.062,0.0238,0.0536,0.0516,0.0544,71.166.157.122,329741843,60,0,16,1,0,Infinity,15,0
6982,326989746,1.1282,0.0404,0.1044,0.084,0.0917,94.213.12.68,328817000,18,0,20,1,0,Infinity,8,0
3304,328204379,1.133,0.0955,0.1359,0.0838,0.0915,Hu12,328413583,335,0,144,0,0,0,0,0
7376,327535235,1.1287,0.0435,0.0722,0.0778,0.0843,Lkjhgfdsa 0,327535464,33,0,28,1,0,Infinity,21,0
17486,328793101,1.1387,0.0534,0.0781,0.0579,0.0614,99.179.46.90,328793545,0,1,14,1,0,Infinity,53,0
19174,328759491,1.1317,0.0756,0.1345,0.0819,0.0892,Sunnycoast,328759762,2,0,0,0,0,0.17177196,73,0
29593,321096201,1.1285,0.0172,0.0294,0.1221,0.1391,Badagnani,329807786,0,0,0,0,0,0,0,0
5519,327941712,1.1198,0.1144,0.154,0.0657,0.0702,BlueEarth,327947343,0,0,0,0,0,Infinity,27,0
37286,329511749,1.127,0.0695,0.1226,0.069,0.0741,137.52.231.30,329520458,0,0,0,1,0,0,0,0
23454,313628399,1.1436,0.0098,0.0269,0.0636,0.0679,Tamariki,328151408,11,0,0,0,0,Infinity,11,0
32667,313836042,1.1196,0.0327,0.0799,0.0897,0.0985,Chris G,327612767,0,0,36,1,0.02173913,0.04196362,84,0
24789,328214505,1.148,0.0242,0.0607,0.0662,0.0708,Zanze123,328215127,35,0,24,0,0,0.18983036,71,0
32254,326582526,1.1211,0.0213,0.0579,0.0856,0.0936,Katerenka,326868353,2,0,18,0,0,Infinity,13,0
23679,329134750,1.1122,0.0384,0.0801,0.109,0.1223,Janus657,329135493,17,0,0,0,0,0.09620368,25,0
29621,328458192,1.0993,0.0262,0.0615,0.061,0.065,Steve3849,328538403,0,0,72,0,0,0,0,0
37791,329534720,1.1259,0.0454,0.1149,0.1339,0.1546,ChristTrekker,329545322,0,0,22,0,0,0,0,0
971,329791738,1.0686,0.022,0.0703,0.0652,0.0697,67.175.221.57,329813097,63,1,0,1,0.030120482,Infinity,18,0
40073,328117548,1.0543,0.0949,0.1282,0.1257,0.1437,121.139.243.16,328732540,35,0,20,1,0,Infinity,10,0
27830,329203236,1.137,0.0313,0.0582,0.0578,0.0613,Iqinn,329203277,61,0,162,0,0,Infinity,21,0
4162,326830532,1.1317,0.0399,0.0649,0.0564,0.0597,132.210.213.5,326830631,0,0,0,1,0.016759777,0.001140983,19,0
19741,328408767,1.1324,0.1222,0.156,0.0715,0.077,Anypodetos,328411216,0,0,14,0,0.005813953,0.7411679,87,0
17313,326985831,1.129,0.0896,0.1443,0.0914,0.1006,Craiglduncan,326997322,0,0,0,0,0,Infinity,12,0
25986,328515603,1.1409,0.0346,0.045,0.0753,0.0814,YUL89YYZ,329067710,1,0,115,0,0.01,6.84E-04,19,0
15995,328108222,1.0797,0.0238,0.0449,0.0955,0.1055,Sodacan,328687875,1,0,0,0,0,0.008600855,16,0
15861,312877945,1.1299,0.0174,0.0643,0.0799,0.0868,Ss112,328393572,2,0,13,0,0,Infinity,13,0
42714,318600968,1.1302,0.0329,0.0724,0.0772,0.0835,Monegasque,328455958,24,0,9,0,0,Infinity,15,0
11350,322699970,1.1243,0.0803,0.1156,0.0748,0.0807,Shsilver,328709233,18,0,20,0,0,Infinity,18,0
28081,326333758,1.1802,0.0048,0.0176,0.0356,0.037,Hellno2,328596732,29,0,0,0,0.013513514,Infinity,18,0
31130,326987824,1.0527,0.0379,0.0639,0.0378,0.0393,TimVickers,326988215,15,0,150,0,0,0,0,0
26142,328815901,1.1698,0.1316,0.1544,0.0949,0.1048,Jeff79,328816107,3,0,0,0,0,0.003277344,45,0
15246,328329324,1.0537,0.078,0.1137,0.0926,0.102,134.129.20.1,328329377,5,0,16,1,0,Infinity,14,0
4543,328096190,1.1028,0.0476,0.0995,0.0676,0.0725,JensRex,328232192,5,0,172,0,0,Infinity,31,0
33663,329968308,1.1356,0.0602,0.0867,0.0412,0.043,94.224.189.231,329968444,21,0,7,1,0,0.0957641,12,0
42367,325742278,1.0818,0.109,0.1448,0.0965,0.1068,Hu12,328442982,418,0,136,0,0,0,0,0
41229,327379490,1.1439,0.0263,0.0397,0.0513,0.0541,BrownHairedGirl,327690182,19,0,126,0,0,Infinity,19,0
12344,324785897,1.1292,0.0668,0.0995,0.0779,0.0844,Waacstats,329871636,7,0,66,0,0,Infinity,25,0
29299,326500471,1.1368,0.0235,0.0582,0.1485,0.1741,12.54.216.140,329168247,1,0,0,1,0,Infinity,5,0
13358,149318241,1.1961,0.0455,0.0909,0.5714,1.2,Lugnuts,328851229,12,0,26,0,0,Infinity,9,0
21833,328154773,1.0871,0.0752,0.1722,0.0799,0.0869,CaninePitDog,328155444,0,0,14,0,0,0,12,0
28121,329897721,1.0535,0.0577,0.1019,0.0674,0.0723,Dabomb87,329898017,49,0,25,0,0,0.33122468,14,0
28580,329173583,1.0658,0.0504,0.0914,0.0842,0.0919,AtticusX,329174025,1,0,18,0,0,7.95E-04,30,0
13689,326085685,1.0612,0.0079,0.0441,0.052,0.0549,80.4.8.150,327144239,67,0,17,1,0,Infinity,10,0
15771,328667935,1.1111,0.0669,0.1907,0.0732,0.079,76.20.131.39,328668514,49,0,19,1,0,0.7120536,9,0
7297,300974940,1.0646,0.0667,0.1096,0.114,0.1286,DHN-bot,327485454,30,0,44,1,0,Infinity,10,0
22463,326501872,1.059,0.0563,0.1486,0.098,0.1087,HelpAccount,326825939,70,1,0,0,0.023529412,Infinity,35,0
27769,328889756,1.1401,0.0198,0.0388,0.0278,0.0286,160.83.72.212,329478992,23,0,0,1,0,5.41E-04,19,0
24982,329847327,1.1004,0.0222,0.0495,0.0671,0.0719,122.175.70.20,329883180,52,0,28,1,0,0.060388688,14,0
41364,326991599,1.1274,0.0349,0.0588,0.0577,0.0612,Noq,326992546,1,0,193,0,0,Infinity,9,0
5637,327830232,1.1222,0.0483,0.0759,0.0904,0.0994,62.203.146.20,329205739,48,0,0,1,0,Infinity,43,0
7702,327417683,1.1287,0.0942,0.1347,0.1501,0.1765,Jen.chevaux,328683754,35,0,0,1,0,Infinity,20,0
10629,326913090,1.1371,0.0168,0.029,0.0973,0.1077,Aslam Kassi,329945733,0,0,14,1,0,0,0,0
39809,274983324,1.1301,0.0581,0.0909,0.0708,0.0762,Markh991,327642989,37,0,0,0,0,Infinity,13,0
1729,326522791,1.1067,0.0803,0.1371,0.0721,0.0777,Woohookitty,327097015,5,0,59,0,0,6.82E-04,19,0
37972,326290371,1.091,0.1154,0.1247,0.1005,0.1117,Chandler,327149324,4,0,35,0,0,0.27114356,6,0
17880,325371994,1.1366,0.0283,0.0623,0.0511,0.0539,64.39.121.23,326817047,162,1,33,1,0.010989011,Infinity,23,0
12768,328357482,1.1562,0.0153,0.0229,0.059,0.0627,YKWSG,328712677,57,0,22,0,0,Infinity,61,0
15109,328431179,1.0853,0.0321,0.063,0.0858,0.0938,Ohconfucius,328799263,24,0,34,0,0,0.02402011,16,0
38254,327248875,1.0917,0.0171,0.0377,0.0513,0.054,203.184.48.212,327249158,3,0,25,1,0,Infinity,12,0
39938,328330050,1.1355,0.0464,0.0831,0.084,0.0917,Cmacauley,328394720,0,0,36,0,0,0,0,0
14688,328444901,1.1404,0.0799,0.1239,0.1167,0.1321,71.12.8.157,328450374,2,0,30,1,0,Infinity,12,0
7411,329859558,1.1362,0.0075,0.0285,0.0514,0.0541,Mathewignash,329871226,0,0,128,0,0,0,0,0
10355,319522358,1.1331,0.0467,0.0712,0.1043,0.1164,Bellhalla,326813371,25,0,48,0,0,Infinity,23,0
7896,330090985,1.1361,0.0292,0.0751,0.0603,0.0642,93.86.247.159,330091063,8,0,13,1,0,0.003722038,94,0
39512,327470839,1.1367,0.0312,0.0449,0.0725,0.0781,Janale,329309568,42,0,170,0,0,0.005898416,21,0
35125,290695310,1.1538,0.0066,0.0154,0.0295,0.0304,Backspace,329794713,35,0,21,0,0,Infinity,17,0
27883,327803649,1.1245,0.0311,0.0632,0.0809,0.0879,Laurinavicius,327979575,1,0,16,0,0,5.57E-04,15,0
9313,295143077,1.1208,0.039,0.083,0.0803,0.0872,Chris G,327085755,0,0,36,1,0.015625,0.07275357,67,0
7435,328791952,1.1699,0.0357,0.0714,0.4815,0.8667,JHunterJ,328802232,13,0,135,0,0,0.13143158,12,0
11444,327001459,1.0862,0.023,0.0517,0.0534,0.0564,76.212.160.134,327013824,22,0,13,1,0.019230769,Infinity,35,0
21429,328506471,1.1417,0.059,0.1048,0.1086,0.1218,HkFnsNGA,328506540,0,0,92,0,0,0,0,0
19011,327177749,1.115,0.0449,0.0988,0.0606,0.0645,Martarius,327179405,0,0,14,0,0,0.004979204,22,0
42003,329337538,1.0943,0.0339,0.0859,0.0857,0.0937,Cartooner32,329895555,43,0,15,0,0,8.98E-04,31,0
9813,327127460,1.1358,0.1135,0.1632,0.1243,0.1419,94.4.29.255,327127690,1,0,34,1,0,0.006448736,16,0
17459,327181591,1.1161,0.0351,0.0606,0.0744,0.0803,71.125.145.117,327185265,102,0,43,1,0,0,0,0
15379,326890639,1.103,0.0305,0.0515,0.0418,0.0436,Owenozier,326890699,16,0,125,0,0,0.051322814,12,0
12588,326621053,1.1075,0.0323,0.0739,0.0489,0.0514,Rich Farmbrough,327096221,1,0,78,1,0,2.33E-06,84,0
36329,326287190,1.1405,0.0325,0.0522,0.0786,0.0853,JustAGal,326781754,93,0,6,0,0,0.034213655,96,0
13583,327372389,1.1373,0.045,0.1052,0.1099,0.1234,Thirdship,327373120,0,0,47,0,0,0,26,0
18248,326753826,1.1324,0.0589,0.1288,0.1869,0.2298,WayKurat,328162460,17,0,85,0,0,0.39851105,24,0
26320,328089422,1.0808,0.0743,0.1072,0.0893,0.098,4twenty42o,328089604,1,0,126,0,0,0.003342674,12,0
9777,328147148,1.1122,0.057,0.1018,0.0417,0.0435,Download,328147219,8,0,130,0,0,5.13E-04,73,0
40157,329145533,1.1226,0.0236,0.0492,0.0711,0.0766,Ejchi,329146149,0,0,27,0,0,0,0,0
33656,328750513,1.115,0.0347,0.0758,0.0629,0.0671,122.172.47.194,328750664,0,0,15,1,0,0,0,0
4037,329239538,1.1293,0.0546,0.0858,0.125,0.1427,Zombie433,329678398,57,0,19,0,0,Infinity,32,0
1542,329092803,1.1082,0.0491,0.0907,0.0954,0.1053,Martin451,329093070,416,0,125,0,0,0.73586494,11,0
6681,327351816,1.1871,0.0741,0.1111,0.44,0.7333,JL 09,327405460,63,0,107,1,0,Infinity,18,0
15785,327719203,1.0739,0.066,0.1276,0.0559,0.0592,75.185.196.188,327771581,9,1,28,1,0.004807692,3.63E-05,144,0
13179,327657616,1.0617,0.0445,0.0716,0.0585,0.0622,72.94.238.153,327965526,16,0,144,1,0,Infinity,15,0
16054,326407190,1.1133,0.035,0.0631,0.0778,0.0843,75.71.87.158,329176333,135,1,0,1,0,Infinity,11,0
43214,327334727,1.0609,0.0547,0.1349,0.0939,0.1036,Shshshsh,327354424,0,0,66,0,0,0,0,0
15857,313278053,1.033,0.0427,0.1677,0.113,0.1274,96.51.71.138,327231859,18,1,16,1,0,Infinity,11,0
32883,327131306,1.0512,0.0236,0.0634,0.0438,0.0458,GSMR,327131329,686,0,151,0,0,Infinity,21,0
1195,322469538,1.1463,0.0544,0.0709,0.0609,0.0648,76.175.130.246,328428590,2,0,14,1,0,Infinity,2,0
18442,327388822,1.1308,0.0475,0.0743,0.0636,0.0679,LAlawMedMBA,327389031,0,0,0,0,0,0,0,0
35882,329797675,1.1298,0.116,0.1665,0.116,0.1311,207.47.241.174,329797904,1,0,23,1,0,Infinity,3,0
16442,328784116,1.1383,0.0245,0.0562,0.0564,0.0598,Richard Arthur Norton (1958- ),328784161,51,0,12,1,0.02173913,0.008325427,13,0
30792,328737092,1.0969,0.0467,0.078,0.1029,0.1146,Greyhood,329709670,21,0,29,0,0,Infinity,10,0
27942,328735204,1.1362,0.0758,0.1418,0.0592,0.0628,Doni84,328735411,2,0,0,0,0,0.050305437,10,0
33694,328829690,1.1176,0.0656,0.1346,0.0886,0.0972,84.38.15.94,328829963,0,0,131,1,0,0.3451581,127,0
30380,328225026,1.0802,0.0643,0.0865,0.0665,0.0712,Zombie433,328360633,73,0,17,0,0,Infinity,9,0
10919,329294587,1.1302,0.0175,0.0808,0.0802,0.0872,De bourbon-valois,329510863,337,0,0,1,0.009708738,Infinity,128,0
13394,325328956,1.1504,0.0033,0.0256,0.0835,0.0911,The Man in Question,328662885,0,0,0,1,0,0,0,0
8436,328606478,1.087,0.0478,0.071,0.0891,0.0978,Htonl,328622287,134,0,65,0,0,0.8075376,19,0
34193,329304682,1.1313,0.0708,0.122,0.1012,0.1126,Xtremeyanksfan22,329308564,0,0,0,0,0,0,0,0
27507,327113139,1.0973,0.1388,0.1833,0.1019,0.1135,41.140.91.153,327510662,0,0,21,1,0,0.048057765,40,0
18033,328152418,1.1336,0.0645,0.0982,0.0908,0.0999,Lando09,328152497,1,0,0,0,0,0.003631403,8,0
23437,328392034,1.1096,0.0593,0.1207,0.1273,0.1458,Seagulf09,328547598,4,0,0,0,0,0.01667016,14,0
24579,260877952,1.1312,0.0483,0.0725,0.061,0.0648,Johnluisocasio,327149711,66,0,0,0,0,Infinity,24,0
8925,329054197,1.1434,0.0459,0.0734,0.0711,0.0764,Taprobanus,329054450,24,0,7,0,0,Infinity,18,0
42308,329886854,0,1,1,1,1,TheWeakWilled,329886904,32,0,126,0,0,Infinity,9,0
43978,327368531,1.0509,0.0273,0.0494,0.0557,0.059,98.140.189.91,327889203,8,1,16,1,0.018518519,0.27156028,24,0
19993,328245893,1.151,0.0216,0.0573,0.0681,0.0731,198.140.4.205,328801505,17,0,22,1,0,0.3931618,12,0
23514,328324716,1.0692,0.0227,0.0562,0.0661,0.0708,117.196.11.19,328324833,3,0,0,1,0,0.115983725,11,0
33409,327236849,1.1494,0.0705,0.1141,0.1155,0.1306,68.249.109.217,327236933,5,0,13,1,0,Infinity,10,0
6008,323584184,1.1176,0.0176,0.0292,0.048,0.0505,Abdul qayyum 1986,328326253,13,0,29,1,0.012048193,3.94E-04,23,0
45584,324938875,1.153,0.0541,0.088,0.0949,0.1049,80.254.146.52,327644500,5,0,0,1,0,Infinity,8,0
40218,327004172,1.1141,0.0334,0.0485,0.0731,0.0789,Bmclaughlin9,327004820,73,0,30,0,0,Infinity,81,0
9013,327667327,1.1344,0.033,0.0554,0.0435,0.0454,Ohconfucius,327667540,1,0,21,0,0,1.79E-04,22,0
9248,328830216,1.0606,0.1147,0.1599,0.1067,0.1195,110.138.224.30,329235956,9,0,10,1,0,Infinity,15,0
31588,327341564,1.1316,0.0448,0.1241,0.0916,0.1009,Till the Casket Drops,327363861,58,0,21,1,0,Infinity,17,0
27701,327431476,1.0979,0.0176,0.029,0.0425,0.0444,Varlaam,327431578,0,0,0,0,0,Infinity,26,0
21748,327015299,1.0834,0.0067,0.0267,0.0391,0.0407,Pepso2,327025062,17,0,0,0,0,Infinity,73,0
6750,328273118,1.1456,0.1463,0.2372,0.1561,0.1849,MR.Texan281,328437782,0,0,0,1,0,0,9,0
8277,327323312,1.1271,0.0565,0.1068,0.1037,0.1156,Explicit,328523946,41,0,117,0,0,0,0,0
16418,327695783,1.1548,0.0264,0.069,0.0337,0.0349,Tgeorgescu,328254518,279,0,78,0,0.03030303,Infinity,17,0
5650,320203903,1.1127,0.0692,0.1622,0.1018,0.1132,Nigel Ish,328627429,0,0,14,1,0,0,6,0
4289,329395082,1.0737,0.039,0.0595,0.0593,0.0631,IxK85,329868661,157,0,33,0,0.076923077,Infinity,47,0
18713,329017412,1.0841,0.0613,0.102,0.0749,0.0809,Ruedetocqueville,329017916,215,0,144,0,0,0.07309957,16,0
14841,325220476,1.1331,0.1185,0.1879,0.0939,0.1036,Tassedethe,329742438,26,0,169,0,0,Infinity,19,0
36073,327542982,1.1046,0.0432,0.0899,0.0826,0.09,140.247.251.46,327583860,1,0,32,1,0,0.27847308,25,0
26856,327937254,1.1378,0.0591,0.101,0.058,0.0616,89.124.240.23,327943198,106,0,0,1,0,Infinity,17,0
26231,326864166,1.1426,0.0363,0.0823,0.0666,0.0713,122.172.41.118,327682958,0,0,21,1,0,0,0,0
17997,328880684,1.0598,0.0209,0.0417,0.0576,0.0611,Hseabury,328880932,73,0,20,0,0,0,0,0
36336,327535398,1.1101,0.0334,0.069,0.066,0.0707,Jubileeclipman,327535748,27,0,42,0,0,0.10826441,17,0
42954,328368042,1.1381,0.0664,0.143,0.1005,0.1117,Rich Farmbrough,329450136,9,0,74,1,0,0.001386008,15,0
30775,328142057,1.128,0.1011,0.1525,0.1065,0.1192,TyHawryluk,328232785,272,0,89,0,0,Infinity,155,0
27549,328090785,1.1152,0.023,0.0441,0.0523,0.0552,71.174.195.44,328137233,37,0,22,1,0,Infinity,12,0
31633,295845761,1.1208,0.0705,0.1335,0.0536,0.0567,Ekabhishek,328039943,11,0,142,0,0,Infinity,18,0
17249,328478829,1.1347,0.0413,0.1009,0.0869,0.0951,Jesseesteves,328479213,25,1,16,0,0,Infinity,6,0
12706,328237627,1.08,0.0175,0.0437,0.0577,0.0612,207.195.79.245,328238937,21,1,0,1,0.008695652,0.10068129,27,0
22607,328819360,1.1336,0.0247,0.0731,0.0749,0.0809,842U,328819682,93,0,0,0,0,0.119073115,52,0
41556,328126569,1.1177,0.0738,0.1234,0.0412,0.0429,Juliancolton,328127067,0,0,131,0,0,0,0,0
9657,327623661,1.1325,0.0894,0.1326,0.0807,0.0877,Worldenc,328056988,0,0,18,0,0,0.1673567,253,0
31676,327125173,1.1311,0.065,0.1012,0.0687,0.0738,71.124.38.121,328744129,6,0,0,1,0,0.1446455,8,0
45710,325814436,1.1326,0.0093,0.029,0.0576,0.0611,90.202.201.246,327104640,251,0,0,1,0,Infinity,14,0
9731,319286588,1.1322,0.0256,0.0988,0.1554,0.1838,79.107.193.36,327280090,0,0,0,1,0,Infinity,12,0
28861,311597772,1.1266,0.0076,0.0208,0.0255,0.0262,Wizard191,326820626,166,0,9,0,0,Infinity,59,0
21241,307574570,1.12,0.0427,0.0881,0.0906,0.0996,Chris G,327973159,0,0,36,1,0.021276596,0.17084263,84,0
12638,252178825,1.1368,0.0501,0.1091,0.0584,0.062,Huaiwei,327342038,9,0,46,0,0,0.19858545,8,0
37965,328684772,1.1705,0.0121,0.0441,0.0565,0.0598,24.209.136.144,328733849,0,0,25,1,0,0,0,0
6290,329620964,1.0917,0.0284,0.0591,0.0711,0.0766,24.8.38.166,329621357,59,0,24,1,0.02173913,Infinity,65,0
39658,328427565,1.0973,0.0124,0.0354,0.0604,0.0643,174.21.211.99,328456862,2,0,15,1,0.005988024,8.17E-05,20,0
